; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	216	0.00463	0.00463	1.00000
-460	-440	-450	0	1	215	0.00000	0.00463	0.99537
-440	-420	-430	0	1	215	0.00000	0.00463	0.99537
-420	-400	-410	0	1	215	0.00000	0.00463	0.99537
-400	-380	-390	0	1	215	0.00000	0.00463	0.99537
-380	-360	-370	0	1	215	0.00000	0.00463	0.99537
-360	-340	-350	0	1	215	0.00000	0.00463	0.99537
-340	-320	-330	0	1	215	0.00000	0.00463	0.99537
-320	-300	-310	0	1	215	0.00000	0.00463	0.99537
-300	-280	-290	0	1	215	0.00000	0.00463	0.99537
-280	-260	-270	0	1	215	0.00000	0.00463	0.99537
-260	-240	-250	0	1	215	0.00000	0.00463	0.99537
-240	-220	-230	0	1	215	0.00000	0.00463	0.99537
-220	-200	-210	2	3	215	0.00926	0.01389	0.99537
-200	-180	-190	1	4	213	0.00463	0.01852	0.98611
-180	-160	-170	0	4	212	0.00000	0.01852	0.98148
-160	-140	-150	2	6	212	0.00926	0.02778	0.98148
-140	-120	-130	0	6	210	0.00000	0.02778	0.97222
-120	-100	-110	1	7	210	0.00463	0.03241	0.97222
-100	-80	-90	1	8	209	0.00463	0.03704	0.96759
-80	-60	-70	2	10	208	0.00926	0.04630	0.96296
-60	-40	-50	0	10	206	0.00000	0.04630	0.95370
-40	-20	-30	0	10	206	0.00000	0.04630	0.95370
-20	0	-10	3	13	206	0.01389	0.06019	0.95370
0	20	10	1	14	203	0.00463	0.06481	0.93981
20	40	30	2	16	202	0.00926	0.07407	0.93519
40	60	50	1	17	200	0.00463	0.07870	0.92593
60	80	70	2	19	199	0.00926	0.08796	0.92130
80	100	90	104	123	197	0.48148	0.56944	0.91204
100	120	110	77	200	93	0.35648	0.92593	0.43056
120	140	130	2	202	16	0.00926	0.93519	0.07407
140	160	150	5	207	14	0.02315	0.95833	0.06481
160	180	170	0	207	9	0.00000	0.95833	0.04167
180	200	190	0	207	9	0.00000	0.95833	0.04167
200	220	210	2	209	9	0.00926	0.96759	0.04167
220	240	230	0	209	7	0.00000	0.96759	0.03241
240	260	250	0	209	7	0.00000	0.96759	0.03241
260	280	270	1	210	7	0.00463	0.97222	0.03241
280	300	290	1	211	6	0.00463	0.97685	0.02778
300	320	310	1	212	5	0.00463	0.98148	0.02315
320	340	330	0	212	4	0.00000	0.98148	0.01852
340	360	350	0	212	4	0.00000	0.98148	0.01852
360	380	370	0	212	4	0.00000	0.98148	0.01852
380	400	390	2	214	4	0.00926	0.99074	0.01852
400	420	410	2	216	2	0.00926	1.00000	0.00926
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	216
; sum                	20721
; mean               	95.9306
; median class       	[60..80[
; var                	6.63e+03
; std                	81.4308
; min                	-468.5
; max                	406.5
; range              	875
; Host name	rsat-tagc
; Job started	2019-09-21.214212
; Job done	2019-09-21.214212
; Seconds	0.25
;	user	0.26
;	system	0.02
;	cuser	0
;	csystem	0
