file	sample	row	col	block	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	Neg	A	1	A1	A1	297	42	39	164477	1349	1001.0001831054688	7164.290614158184	4333.625753263957
A2	B18	A	2	A1	A2	30000	29582	28638	463917.5	1436	7344.99951171875	1837.1754441829898	9345.703945854011
A3	B18	A	3	A1	A3	30000	29564	28560	455258	1388.9998779296875	7360.50048828125	1804.7914965292102	9521.259617756597
A4	B18	A	4	A4	A4	30000	29443	28596	457539.5	1425.5001220703125	7613.99951171875	1843.9233722399317	9776.77185850647
A5	B18	A	5	A4	A5	30000	29582	28578	461038	1385.9998779296875	7896.00146484375	1763.411705326073	10014.625676850148
A6	B18	A	6	A4	A6	30000	29315	28339	511250	1450.000244140625	7876.00048828125	1607.7554788761074	8689.851074253585
A7	B18	A	7	A7	A7	30000	29320	28408	520668.5	1524.000244140625	7497.00146484375	1643.851631515869	8096.4161759179005
A8	B18	A	8	A7	A8	30000	29442	28442	499086.5	1403	8266.501953125	1607.8640365472188	9448.623508576195
A9	B18	A	9	A7	A9	30000	29209	28188	521894	1437.000244140625	8694.49853515625	1542.1245270505974	9272.794724025629
A10	Neg	A	10	A10	A10	377	189	177	324361	1013.000244140625	4706.00048828125	1832.4226616300323	7969.071216032029
A11	B18	A	11	A10	A11	30000	29423	28402	501972.5	1437.000244140625	10449.998046875	1636.273571153728	11997.101387167873
A12	B18	A	12	A10	A12	30000	29238	28487	527075	1639.0001220703125	13693.0009765625	1710.9623965433934	14448.907023374508
B1	B18	B	1	A1	B1	30000	29590	28547	439389	1501.000244140625	7450.998046875	2042.3018561513811	10109.823524306015
B2	B18	B	2	A1	B2	30000	29634	28634	449439	1486.5001220703125	6369.5009765625	1944.8749907842266	8328.741508246592
B3	yH156	B	3	A1	B3	30000	29435	28534	469616	1147.000244140625	259	1382.0006190640665	287.78819570830836
B4	B18	B	4	A4	B4	30000	29363	28381	502281	1643	7249.99951171875	1861.8777588525695	8208.366784373586
