plate	experiment	group	filename	sample	workspace	compensation	plot.title	gate	X.par	Y.par	count	volume	concentration	pcTotal	pcGated	X.mean	Y.mean	X.median	Y.median	X.peak	Y.peak	X.SD	Y.SD	X.pcCV	Y.pcCV	X.rSD	Y.rSD	X.pcrCV	Y.pcrCV
Plate(4)	Experiment	Group		240-295-2	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	4	2500	41.465	41.465	1688	N/A	1101	N/A	925	N/A	2040.21	N/A	120.88	N/A	727.22	N/A	66.08	N/A
Plate(4)	Experiment	Group		240-295-2	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	4	2500	41.465	63.71	363761	86	351872	86	306052	84	111077.91	7.93	30.54	9.19	122797.83	8.9	34.9	10.34
Plate(4)	Experiment	Group		240-295-2	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	15696	4	3924	65.083	65.083	380941	95	369409	91	314314	92	127907.4	25.28	33.58	26.57	140387.39	13.34	38	14.66
Plate(4)	Experiment	Group		240-295-3	Experiment	None	N/A	All Events	N/A	N/A	19380	3	6460	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plate(4)	Experiment	Group		240-295-3	Experiment	None		R2	FSC - FSC-H	SSC - SSC-H	14725	3	4908.333	75.98	75.98	338042	101693	318701	93022	285641	78826	122584.65	41010.34	36.26	40.33	128434.67	40276.31	40.3	43.3
Plate(4)	Experiment	Group		240-295-3	Experiment	None		R1	Pho4-GFP - BL1-H		10000	3	3333.333	51.6	51.6	1610	N/A	1362	N/A	1408	N/A	956.21	N/A	59.38	N/A	741.3	N/A	54.43	N/A
Plate(4)	Experiment	Group		240-295-3	Experiment	None		R1	PHO5pr-mCherry - YL2-H		10000	3	3333.333	51.6	51.6	1241	N/A	797	N/A	808	N/A	1532.11	N/A	123.46	N/A	548.56	N/A	68.83	N/A
Plate(4)	Experiment	Group		240-295-3	Experiment	None		R1	FSC - FSC-H	FSC - FSC-W	10000	3	3333.333	51.6	67.912	330168	85	310357	84	218255	85	105062.42	7.4	31.82	8.73	111427.77	7.41	35.9	8.82
Plate(4)	Experiment	Group		240-295-3	Experiment	None		R2	FSC - FSC-H	FSC - FSC-W	14725	3	4908.333	75.98	75.98	338042	92	318701	87	285641	85	122584.65	24.83	36.26	27.09	128434.67	11.86	40.3	13.63
Plate(4)	Experiment	Group		240-296-1	Experiment	None	N/A	All Events	N/A	N/A	18063	3	6021	100	100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
