Group,ID,Sample,Rep,Pho4,Pho2,PHO5RFP,FP,Parameter,Count,Perc_gated,Median,CV,rCV
Jia,B17-2,B17,2,pH193,ScPho2,ura3,T,Pho4-GFP-H,10000,20.065,1364,32.25,28.8
Jia,B17-3,B17,3,pH193,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,18.323,6839,53.76,46.58
Jia,B17-3,B17,3,pH193,ScPho2,ura3,T,Pho4-GFP-H,10000,18.323,1145,36.99,32.5
Jia,B18-1,B18,1,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,28.331,8527,47.59,45.16
Jia,B18-1,B18,1,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,28.331,1251,41.42,38.4
Jia,B18-2,B18,2,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,27.317,8647,44.24,41.7
Jia,B18-2,B18,2,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,27.317,1284,40.49,37.06
Jia,B18-3,B18,3,pH194,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,24.204,8281,44.77,41.85
Jia,B18-3,B18,3,pH194,ScPho2,ura3,T,Pho4-GFP-H,10000,24.204,1279,40.19,36.17
Jia,B20-1,B20,1,pH177,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,15.781,9615,39.52,35.17
Jia,B20-1,B20,1,pH177,ScPho2,ura3,T,Pho4-GFP-H,10000,15.781,1937,33.53,29.16
Jia,B20-2,B20,2,pH177,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,20.04,8997,38.26,34.35
Jia,B20-2,B20,2,pH177,ScPho2,ura3,T,Pho4-GFP-H,10000,20.04,1794,32.15,29.42
Jia,B20-3,B20,3,pH177,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,17.433,9644,39.32,36.71
Jia,B20-3,B20,3,pH177,ScPho2,ura3,T,Pho4-GFP-H,10000,17.433,1936,34.12,29.56
Jia,B3-4,B3,4,pH179,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,10.238,21856,37.81,32.11
Jia,B3-4,B3,4,pH179,ScPho2,ura3,T,Pho4-GFP-H,10000,10.238,2501,31.79,29.28
Jia,B3-1,B3,1,pH179,ScPho2,ura3,T,PHO5pr-mCherry-H,663,7.431,35045,49.41,36.63
Jia,B3-1,B3,1,pH179,ScPho2,ura3,T,Pho4-GFP-H,663,7.431,3194,41.84,31.56
Jia,B3-2,B3,2,pH179,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,10.805,20690,36.03,32.05
Jia,B3-2,B3,2,pH179,ScPho2,ura3,T,Pho4-GFP-H,10000,10.805,2461,31.61,28.89
Jia,B3-3,B3,3,pH179,ScPho2,ura3,T,PHO5pr-mCherry-H,726,14.328,4842,116.39,116.32
Jia,B3-3,B3,3,pH179,ScPho2,ura3,T,Pho4-GFP-H,726,14.328,2643,55.31,50.6
Jia,B4-1,B4,1,pH180,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,11.813,10572,44.54,39.98
Jia,B4-1,B4,1,pH180,ScPho2,ura3,T,Pho4-GFP-H,10000,11.813,1493,36.1,28.8
Jia,B4-2,B4,2,pH180,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,15.635,10025,43.56,39.64
Jia,B4-2,B4,2,pH180,ScPho2,ura3,T,Pho4-GFP-H,10000,15.635,1523,35.25,30.57
Jia,B4-3,B4,3,pH180,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,13.588,9874,41.09,38.43
Jia,B4-3,B4,3,pH180,ScPho2,ura3,T,Pho4-GFP-H,10000,13.588,1567,36.19,29.48
Jia,yHB050-1,yHB050,1,pH124,ScPho2,ura3,T,PHO5pr-mCherry-H,10000,21.019,1826,75.83,73.3
Jia,yHB050-1,yHB050,1,pH124,ScPho2,ura3,T,Pho4-GFP-H,10000,21.019,1871,79.72,70.45
Jia,yHB063-1,yHB063,1,pH124,pho2del,ura3,T,PHO5pr-mCherry-H,10123,27.481,7054,50.48,46.85
Jia,yHB063-1,yHB063,1,pH124,pho2del,ura3,T,Pho4-GFP-H,10123,27.481,1204,40.75,37.93
