Sample,Tube,Group,Pho4,Pho4GFP,PHO5RFP,PHO2,Parameter,Count,Median,CV,rCV
F1,4D,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1580,39.05,38.66
F1,4D,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,6351,49.85,44.7
F2,4E,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1796,34.57,34.51
F2,4E,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,9011,39.63,36.91
F3,4F,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1888,34.48,34.63
F3,4F,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,10527,38.63,34.65
F4,4G,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,Pho4-GFP,11400,1971,32.37,33.06
F4,4G,exogenous,CgPho4,CgPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,11400,11321,36.38,32.81
M1,5A,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1676,37.88,35.83
M1,5A,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,6430,44.02,41.52
M2,5B,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,2005,37.51,35.27
M2,5B,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,12043,47.67,49.89
M3,5C,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,Pho4-GFP,15000,1825,38.28,35.46
M3,5C,plasmid,ScPho4,ScPho4-mNeon,T,ScPHO2,PHO5pr-mCherry,15000,7980,39.72,36.85
P1,5D,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,15000,2119,85.94,57.58
P1,5D,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,1510,88.57,69.02
P2,5E,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,15000,1954,79.48,51.22
P2,5E,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,1029,85.68,60.95
P3,5F,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,Pho4-GFP,15000,1930,70.43,50.29
P3,5F,plasmid,ScPho4,ScPho4-mNeon,T,pho2-,PHO5pr-mCherry,15000,1049,81.42,53.14
N1,5G,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1535,35.59,31.87
N1,5G,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,8751,40.8,37.24
N2,5H,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1565,34.81,31.74
N2,5H,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,10067,39.66,35.43
N3,6A,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,Pho4-GFP,15000,1348,36.75,34.1
N3,6A,plasmid,ScPho4,ScPho4-EGFP,T,ScPHO2,PHO5pr-mCherry,15000,6504,49.77,43.21
Q1,6B,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1557,54.62,41.33
Q1,6B,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,2446,60.32,47.76
Q2,6C,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,Pho4-GFP,15000,1318,55.48,43.87
Q2,6C,plasmid,ScPho4,ScPho4-EGFP,T,pho2-,PHO5pr-mCherry,15000,970,67.32,53.19
