# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"22","B10","false","7pi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.225679524689515","","","13.65623834049736","0.9234121457945506","14.15029641869802","0.4265485162861635","true","0.050259313185625855","true","3","11","75.12613677978516","66.26699829101562","61.22064971923828",""
"23","B11","false","06 pi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2651280154843996","","","21.364162974311277","0.9231328333947827","19.686334725944054","5.551199743002076","true","0.050259313185625855","true","3","18","66.34153747558594","75.14800262451172","",""
"24","B12","false","-RT","scact1","NTC","SYBR","None","Amp","1.3990761896878725","","","30.302420034423996","0.9558727442429025","30.302420034423996","","true","0.050259313185625855","true","3","27","74.70210266113281","","",""
"25","C1","false","0oi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.1945005654483158","","","13.940578254635284","0.8432790768713847","13.856313202076663","0.6600702917819792","true","0.050259313185625855","true","3","11","63.920833587646484","74.92912292480469","68.41401672363281",""
"26","C2","false","0oi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2269430762875702","","","14.498151261824177","0.9621489265629224","13.856313202076663","0.6600702917819792","true","0.050259313185625855","true","3","12","75.37844848632812","60.77560806274414","",""
"27","C3","false","7pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2351514072870182","","","13.118396802203485","0.9274581864367283","13.359027244594493","0.3521970465342099","true","0.050259313185625855","true","3","10","75.34507751464844","65.59271240234375","",""
"28","C4","false","7pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2373354981583098","","","12.996047605118676","0.9057762777604749","13.359027244594493","0.3521970465342099","true","0.050259313185625855","true","3","9","74.89669799804688","","",""
"29","C5","false","06pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.1982763443970106","","","13.264065529693406","0.8424563447573311","13.284285494581873","0.1435053009058667","true","0.050259313185625855","true","3","11","74.98078155517578","","",""
"30","C6","false","06pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2409565761581325","","","13.09822909775706","0.9058680807846984","13.284285494581873","0.1435053009058667","true","0.050259313185625855","true","3","10","74.75698852539062","","",""
"31","C7","false","0pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.2160226229238382","","","13.131781439039546","0.9019010620062365","13.121798108388953","0.2558255079175835","true","0.050259313185625855","true","3","10","74.75596618652344","61.55376434326172","",""
"32","C8","false","0pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.1890426239838965","","","13.167132080188168","0.84616641171068","13.121798108388953","0.2558255079175835","true","0.050259313185625855","true","3","11","74.97972869873047","","",""
"33","C9","false","b4","Scpho84","UNKNOWN","SYBR","None","Amp","1.0136173119272094","","","26.85480698564954","0.9477402746590153","26.33031211055864","0.37833055859989656","true","0.03999999910593033","true","3","25","63.463470458984375","70.86477661132812","",""
"34","C10","false","b4","Scpho84","UNKNOWN","SYBR","None","Amp","0.9730982910537873","","","26.040473357412473","0.8210073052297594","26.33031211055864","0.37833055859989656","true","0.03999999910593033","true","3","22","69.6312255859375","64.92130279541016","",""
"35","C11","false","7pi 2hr","Scpho84","UNKNOWN","SYBR","None","Amp","1.0174306011845884","","","21.55249620511622","0.558622094088324","21.54132223802905","0.06147711882375874","true","0.03999999910593033","true","3","17","71.35787963867188","68.2365951538086","66.11858367919922",""
"36","C12","false","7pi 2hr","Scpho84","UNKNOWN","SYBR","None","Amp","1.0271502427955892","","","21.596445986514844","0.6691038254182188","21.54132223802905","0.06147711882375874","true","0.03999999910593033","true","3","18","71.13493347167969","68.45954895019531","74.59063720703125",""
"37","D1","false","0oi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2449783708133861","","","14.052014190171054","0.8627194150169452","13.856313202076663","0.6600702917819792","true","0.050259313185625855","true","3","12","74.8167953491211","63.808502197265625","61.22492599487305",""
"38","D2","false","0oi 45min","scact1","UNKNOWN","SYBR","None","Amp","1.2442239362416205","","","12.934509101676138","0.8346318897909133","13.856313202076663","0.6600702917819792","true","0.050259313185625855","true","3","11","74.8167953491211","","",""
"39","D3","false","7pi 2hr","scact1","UNKNOWN","SYBR","None","Amp","1.207740946290279","","","13.648615804499684","0.9828311775646108","13.359027244594493","0.3521970465342099","true","0.050259313185625855","true","3","11","74.67250061035156","","",""
