well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	25306	24929	22883	519632	1659	20708	1729.7	22153.2
A2	194-555-1	194-555-1	21057	20715	18846	517767.5	1868.5	29171.5	1895.6	30251.5
A3	194-555-2	194-555-2	22842	22372	20127	547885	2324	40074	2122.1	37225
A4	194-555-3	194-555-3	22072	21772	20222	482204	1539	21767.5	1755.5	24986.1
A5	188-555-2	188-555-2	25176	24691	22678	538749.5	1880.5	24861.5	1839.7	25261.9
A6	210-373-1	210-373-1	22756	22326	21115	511764	2286	9736	2376	10328.7
A7	210-373-2	210-373-2	22319	21925	20885	474632	1886	6781	2204.4	8021.3
A8	210-373-3	210-373-3	23995	23455	22309	511709	2238	8548	2357.8	9287.4
A9	188-555-3	188-555-3	21868	21223	19057	509813	1881	28550	1965.2	30128.5
A10	255-555-1	255-555-1	21876	21327	19810	512986	2160	28710.5	2228	29717.4
A11	255-555-2	255-555-2	24246	23457	21716	551070.5	2481	32847	2334.1	30947.5
A12	255-555-3	255-555-3	23713	22793	21150	542875.5	2425.5	32563	2327.2	31279
B1	NA-blank-1	NA-blank-1	436	104	93	192200	1139	248	4189.5	1320.6
B2	194-373-1	194-373-1	19953	19296	18458	487897	2409	1762.5	2533.6	1840.5
B3	194-373-2	194-373-2	21755	21171	20217	519366	2302	2105	2227.8	2081
B4	194-373-3	194-373-3	20274	19923	18928	463429.5	1767	1498.5	2072.5	1750
B5	NA-156-1	NA-156-1	21455	21192	19903	455749	654	81	783.5	86.2
B6	210-555-1	210-555-1	21770	21545	20476	488013.5	1895.5	8430	2056.7	8868.3
B7	210-555-2	210-555-2	19779	19557	18664	457529	1658	6292.5	2000.5	7425.4
B8	210-555-3	210-555-3	21549	21167	20155	495203	1899	7926	2056.5	8397.9
B9	NA-373-1	NA-373-1	19635	19279	18244	441806	712	1082	905.8	1376.6
B10	255-373-1	255-373-1	24577	23863	22290	552059	3223.5	19179	3140.6	19119.9
B11	255-373-2	255-373-2	26551	25349	23806	589957.5	3249	19620	2891.2	17554.8
B12	255-373-3	255-373-3	24445	23478	21958	542385.5	3201	19498	3233.6	19751.1
C1	188-555-4	188-555-4	22641	22278	20366	525774	1803	21278	1800.2	21716
C2	209-555-1o	209-555-1o	21886	21666	20506	507983.5	2246	13055.5	2351	13993.5
C3	209-555-2o	209-555-2o	20831	20648	19630	477218.5	1995.5	11348.5	2289.7	13342.1
C4	209-555-3o	209-555-3o	20011	19868	18892	457684.5	1733	9789	2113.3	11970.5
C5	188-555-5	188-555-5	21004	20762	19246	473324	1544	19149.5	1794.3	22818.8
C6	217-373-1	217-373-1	680	436	376	234861.5	1269	7517	4032.7	24025.6
C7	217-373-2	217-373-2	278	56	52	174553	1481.5	449	4771.9	1155
