well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
C8	217-373-3	217-373-3	376	116	114	205606.5	1197	983	3306.7	3586.5
C9	188-555-6	188-555-6	22515	21653	19511	532950	2005	31888	1964.4	31585.7
C10	265-555-1	265-555-1	20695	20439	19225	469343	1894	12280	2173.4	14176.4
C11	265-555-2	265-555-2	21257	20856	19716	483216	2014.5	13204	2216.6	14562.6
C12	265-555-3	265-555-3	21427	21000	19774	488740	2030	13175.5	2199.8	14379.3
D1	NA-555-1	NA-555-1	18289	18190	17212	407290.5	668	558	940.9	795.2
D2	209-373-1o	209-373-1o	19632	19436	18447	433634	1849	9247	2452.4	12613.1
D3	209-373-2o	209-373-2o	18437	18276	17337	391431	1470	8116	2236.8	12516.7
D4	209-373-3o	209-373-3o	19989	19704	18526	482926.5	2481	14295	2819.7	16579.5
D5	NA-blank-2	NA-blank-2	249	70	69	230603	1682	1449	2834.7	3559.9
D6	217-555-1	217-555-1	17549	17417	16436	418868.5	1714	8724.5	2353.1	12072.6
D7	217-555-2	217-555-2	18733	18504	17424	458995.5	2334	13287.5	2746.4	15640.6
D8	217-555-3	217-555-3	20184	19850	18723	477705	2407	13096	2727.7	14998.6
D9	NA-156-2	NA-156-2	19004	18768	17517	454576	648	77	781.4	83.8
D10	265-373-1	265-373-1	23514	22525	21261	504215	3222	9603	3602.7	11812.1
D11	265-373-2	265-373-2	22862	22013	20851	497219	2837	7521	3252.4	9656.7
D12	265-373-3	265-373-3	26456	25129	23539	580127	3473	10126	3226.9	10288.1
E1	188-555-7	188-555-7	23299	22906	21124	511390	1677	19817.5	1788.2	21261.6
E2	210-555-1o	210-555-1o	22261	22011	21115	465869	1588	6468	1885.5	7584.4
E3	210-555-2o	210-555-2o	23391	23145	22085	492293	1791	8378	1921.7	9013.7
E4	210-555-3o	210-555-3o	25902	25459	24501	512848	1775	7381	1839.7	7684.7
E5	188-555-8	188-555-8	22272	21934	20324	480182	1522	19317.5	1759.8	22955.4
E6	227-373-1	227-373-1	20522	20071	19012	496504	3882	9604	4574.2	11404.1
E7	227-373-2	227-373-2	19566	19169	18319	451049	4445	12054	5613.9	15477.2
E8	227-373-3	227-373-3	20826	20305	19465	461580	6190	12254	7515.4	15139.7
E9	188-555-9	188-555-9	20480	19887	18082	508246	1788	27116	1870.7	28475.6
E10	266-555-1	266-555-1	20186	19869	18763	457745	2260	10628	2672.3	12770.6
E11	266-555-2	266-555-2	20832	20374	19180	428645.5	2075	9618.5	2731.4	12686.6
E12	266-555-3	266-555-3	21980	21418	20133	502596	2576	12490	2754.1	13400.7
F1	NA-373-2	NA-373-2	24083	23416	22072	440707.5	679	773	868.8	990.5
F2	210-373-1o	210-373-1o	22276	21980	20923	479091	1877	7726	2114.1	8843.2
F3	210-373-2o	210-373-2o	25208	24775	23540	516252.5	2194	10271.5	2240.8	10848.8
F4	210-373-3o	210-373-3o	21914	21657	20629	498810	2041	7567	2189.1	8227.8
F5	NA-555-2	NA-555-2	22248	21973	20914	448785.5	721	686	903	845.1
F6	227-555-1	227-555-1	21392	21110	19930	451673.5	2465.5	6943.5	3003.2	8975.3
F7	227-555-2	227-555-2	21762	21356	20318	437702	2003.5	6170	2571.3	8209.6
F8	227-555-3	227-555-3	21898	21519	20512	456270	2976	6857.5	3663.7	8707.2
F9	NA-blank-3	NA-blank-3	245	77	75	258338	1743	1707	3210.2	4725.2
F10	266-373-1	266-373-1	25117	24238	22437	568197	3637	17173	3328.9	16238.9
F11	266-373-2	266-373-2	25399	24496	23020	564023.5	3382	15097	3239.4	15258.9
F12	266-373-3	266-373-3	27243	26089	24355	622144	4117	17822	3395.6	14969.6
G1	188-555-10	188-555-10	24404	24013	22205	507007	1608	21264	1738.6	23383.3
G2	209-555-1	209-555-1	22104	21941	20829	458820	1698	11949	2074.3	14807.3
G3	209-555-2	209-555-2	20711	20568	19440	460126.5	1745	12296	2130.3	15278.1
G4	209-555-3	209-555-3	26777	26294	24975	531016	2034	14474	2032.1	14720.3
G5	188-555-11	188-555-11	30018	29063	27157	569453	1859	26032	1687.3	24211.6
G6	250-373-1	250-373-1	29464	28937	27691	509624	4721	8109	5264.6	9127.2
G7	250-373-2	250-373-2	22464	22084	20852	521424.5	3916.5	6180.5	4410.2	7041.1
G8	250-373-3	250-373-3	23940	23396	22296	538381.5	4950.5	7753.5	5207.1	8259.3
G9	188-555-12	188-555-12	25133	24524	22750	511844	1695.5	22903	1780.4	24343.8
G10	188-373-1	188-373-1	24010	23150	21566	525524.5	1982	25159	2004.8	25490.4
G11	188-373-2	188-373-2	28736	27745	25714	534171	1797	21532.5	1799	21885.8
G12	188-373-3	188-373-3	21664	20928	19394	515279.5	2009.5	24630.5	2055.3	25200.7
H1	NA-156-3	NA-156-3	26852	26322	24519	474631	635	82	722.3	83.6
H2	209-373-1	209-373-1	24778	24293	22925	561175	2784	18169	2615.4	17059.2
H3	209-373-2	209-373-2	19841	19600	18422	454914	1922	11700.5	2327.5	14401.1
H4	209-373-3	209-373-3	25433	24972	23737	509218	1952	11412	2088.1	12628
H5	NA-373-3	NA-373-3	23297	22227	21216	455457	722	699	885.6	843.3
H6	250-555-1	250-555-1	29142	28773	27550	485657	2486	3507.5	2840.7	4154.2
H7	250-555-2	250-555-2	21169	20912	19982	447423	2455	3041.5	3043.3	3926
H8	250-555-3	250-555-3	21525	21257	20318	441086.5	2360.5	2797	3000.2	3633.8
H9	NA-555-3	NA-555-3	24675	24180	23189	440881	720	480	914.6	600
H10	NA-blank-4	NA-blank-4	315	122	115	289055	742	340	1185.2	716.1
H11	NA-blank-5	NA-blank-5	296	89	85	218427	1406	423	3155.8	1320.1
H12	NA-blank-6	NA-blank-6	161	39	36	239025.5	1309.5	542.5	2643.5	3377.2
