Sample,Time,n_induction,FSC.H,BL1.H,YL2.H,nGFP,nRFP
Pos,14:05,12867,371765,1292.000244,28969.99805,1853.766999,42439.0545
Pos,14:55,12745,382010,1362.000244,33216.00391,1909.549848,47691.29074
Pos,15:35,7742,373307.5,1274,37163.49609,1824.629677,53845.18954
Pos,16:00,8514,400497,1340.000122,38189.00195,1803.546404,51735.25154
Pos,16:15,8556,398165,1328.000244,38413.49805,1796.407634,52489.92407
