well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	29210	27242	20383	429754	1589	20356	1952.3	25525.2
A2	194-555-1	194-555-1	18284	17692	15230	389811	1728	24353	2280.6	32571.8
A3	194-555-2	194-555-2	17020	16542	13941	356912	1630	22383	2367.4	33042
A4	194-555-3	194-555-3	18322	17648	14954	382682.5	1735	23834	2331.3	32867.3
A5	188-373-1	188-373-1	20934	20004	15616	316842.5	1291	14880	2120.3	24702.2
A6	209-373-1	209-373-1	22353	21193	17993	468788	2697	14505	3026.3	16697.6
A7	209-373-2	209-373-2	23181	21727	18233	482579	2960	18152	3177.8	19682.3
A8	209-373-3	209-373-3	22091	20821	17690	484103	3384	20952.5	3812	23681.6
A9	188-555-2	188-555-2	20783	19607	15109	368905	1585	23400	2236	32778
A10	230-555-1	230-555-1	19733	18740	17213	464603	1703	36373	1880.1	40642.3
A11	230-555-2	230-555-2	20510	19120	17435	466298	1699	36894	1882.3	41071.3
A12	230-555-3	230-555-3	21039	19519	17921	482288	1811	39534	1917.1	42747.2
B1	NA-blank-1	blank1	6984	480	406	161319	870	423	2436.4	1186.6
B2	194-373-1	194-373-1	19513	18729	16262	372760	1713.5	1206.5	2299.9	1594.5
B3	194-373-2	194-373-2	20336	19307	16826	386922.5	1911	1521	2444.9	1915.6
B4	194-373-3	194-373-3	18667	17919	15554	361657.5	1608	1106	2222.9	1489.4
B5	NA-156-1	yH156-1	16525	16341	14239	366749	593	76	842.7	98.5
B6	209-555-1	209-555-1	18525	17893	14839	313182	1491	9383	2454	15570.2
B7	209-555-2	209-555-2	18157	17493	14900	346121	1659	10153	2480.1	14979.9
B8	209-555-3	209-555-3	19318	18455	15339	336790	1623	10489	2478.3	16010.5
B9	NA-373-1	yH373-1	16918	16553	14253	339587	566	714	855.2	1079.7
B10	230-373-1	230-373-1	21822	20531	18394	347853.5	3789	9187.5	5651.2	13667
B11	230-373-2	230-373-2	21920	20510	18162	389711	4520	10051	5902.7	13018.3
B12	230-373-3	230-373-3	22625	20958	18531	418239	3123	6648	3928.2	8925.8
C1	188-373-2	188-373-2	20046	19215	15783	351219	1424	14611	2109.5	21401
C2	211-555-1	211-555-1	24258	21947	19415	548032	2788	49889	2606.9	47848.5
C3	211-555-2	211-555-2	29078	24376	21018	581994.5	3081	59031.5	2712.3	53363.6
