well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	22388	22078	20547	498284	2025	25285	2246.6	28399.6
A2	194-555-1	194-555-1	18125	17883	16461	443936	1704	25752	2183.9	33322
A3	194-555-2	194-555-2	18675	18415	16962	462451.5	1851.5	28259.5	2228.5	34436.6
A4	194-555-3	194-555-3	20290	19996	18608	459015	1748	24641.5	2161.7	31332.8
A5	188-555-2	188-555-2	25036	24389	22626	536376.5	2427	32064.5	2388.2	32055.1
A6	251-373-1	251-373-1	24295	23697	22316	468181.5	5559	12071	6697.7	15199.3
A7	251-373-2	251-373-2	23022	22438	21069	446040	4709	12018	5928.1	15863
A8	251-373-3	251-373-3	23535	22795	21396	476624	6974.5	15521.5	8371.6	18994.3
A9	188-555-3	188-555-3	19823	19471	17857	422438	1554	22074	2180.3	31546.3
B1	NA-blank-1	NA-blank-1	1816	407	387	237726	1055	688	2560.8	2694.2
B2	194-373-1	194-373-1	20375	19796	18885	464498	3263	3146	3751.8	3954.6
B3	194-373-2	194-373-2	22144	21430	20419	478891	2917	2934	3114	3336.2
B4	194-373-3	194-373-3	21559	20834	19879	459357	2695	2493	3000.1	2928.6
B5	NA-156-1	NA-156-1	21598	21398	20099	467969	697	85	814.3	90.7
B6	251-555-1	251-555-1	11593	9642	8623	621688	3858	58239	3048.7	48726.1
B7	251-555-2	251-555-2	3810	2275	1556	500551	4878.5	57340.5	5741.7	67608.5
B8	251-555-3	251-555-3	15597	13299	12189	622310	4243	67809	3715.5	56252
B9	NA-373-1	NA-373-1	28201	25138	23584	597961.5	1350	2868	1139.3	2436.2
C1	188-555-4	188-555-4	22493	22059	20483	494965	2005	23846	2208.5	26657.7
C2	231-555-1	231-555-1	17955	17299	15067	450099	2473	8523	3083.7	10232.1
C3	231-555-2	231-555-2	5748	3864	2673	508747	2610	48143	2859.1	51678
C4	231-555-3	231-555-3	9169	7191	3267	532591	2265	38490	2429.6	42726.8
C5	188-555-5	188-555-5	21445	20795	19012	466168	1775	22329.5	2132.4	27118.2
C6	252-373-1	252-373-1	29940	26590	24763	620776	5295	10245	4262.9	9123.4
C7	252-373-2	252-373-2	29513	26171	24367	599363	4551	8716	3808.5	7925.3
C8	252-373-3	252-373-3	29711	24149	22428	671814.5	5304	9930.5	3915.7	7825.6
C9	188-555-6	188-555-6	22901	22180	20592	489965.5	1860	26795.5	2100.3	30093.3
D1	NA-555-1	NA-555-1	20627	20514	19460	441990	748	691	947.3	871.1
D2	231-373-1	231-373-1	20577	19933	18872	448781.5	4804	8088.5	6385.4	10417.3
D3	231-373-2	231-373-2	24171	23583	22252	474596.5	4811.5	8431.5	6063.3	10629.2
D4	231-373-3	231-373-3	20557	19909	18765	444616	5528	8933	7286.4	11545.4
D5	NA-blank-2	NA-blank-2	2655	516	460	182803.5	1135.5	475.5	4682.1	1883.1
D6	252-555-1	252-555-1	10848	8841	7362	447481	3896.5	15542.5	5175.1	20532
D7	252-555-2	252-555-2	4368	2992	2613	580088	3569	50677	3161.9	47660.4
D8	252-555-3	252-555-3	6565	4571	3943	563446	3631	53492	3292.6	49858.3
D9	NA-156-2	NA-156-2	19864	19572	18331	473038	689	82	792.6	85.7
E1	188-555-7	188-555-7	21735	21308	19834	481707	1922	22697.5	2201.5	26205.6
E2	240-555-1	240-555-1	19231	19050	18143	403881	2007	3879	2859.1	5455.3
E3	240-555-2	240-555-2	18914	18718	17847	394048	1902	3688	2840.9	5444.4
E4	240-555-3	240-555-3	19120	18948	17988	379357.5	2060	4602	3197.8	7030.6
E5	188-555-8	188-555-8	19782	19261	17859	468489	1774	21650	2093.7	26075.4
E6	254-373-1	254-373-1	20350	19772	18631	434159	5098	11131	6932	15295
E7	254-373-2	254-373-2	18781	18336	17291	405206	4762	10609	6901.1	15570.5
E8	254-373-3	254-373-3	20139	19476	18258	445295	5541	11639	7102	15150.1
E9	188-555-9	188-555-9	21166	20452	18823	483636	1880	23810	2134.8	27107.4
F1	NA-373-2	NA-373-2	21849	21260	19997	484976	828	1037	919.9	1156.2
F2	240-373-1	240-373-1	22571	22030	20951	488597	4597	10129	5235.2	11561.6
F3	240-373-2	240-373-2	19833	19357	18326	444484	3413	7305.5	4415.9	9515.7
F4	240-373-3	240-373-3	21330	20729	19691	458395	3742	7650	4643.8	9374.1
F5	NA-555-2	NA-555-2	20838	20575	19585	434994	704	675	917.1	864
F6	254-555-1	254-555-1	22388	21612	20017	530834	4373	38211	4319.5	37869.3
F7	254-555-2	254-555-2	23820	21632	19494	611219.5	5875	52609.5	4573.4	40997.2
F8	254-555-3	254-555-3	20817	20114	18390	531624.5	4491	38319	4363.8	37378.1
F9	NA-blank-3	NA-blank-3	1939	328	289	176627	982	424	3868.1	1747.2
G1	188-555-10	188-555-10	21342	20954	19459	481783	1938	22628	2210.6	25943.9
G2	241-555-1	241-555-1	2121	520	503	219532	1429	707	4580.1	2874.6
G3	241-555-2	241-555-2	5487	3495	2986	674671.5	4219	76010	3058.3	56687.4
G4	241-555-3	241-555-3	1920	434	382	191048.5	1800	608.5	7630.3	2378.8
G5	188-555-11	188-555-11	20943	20337	18885	483539	1894	22890	2143	26230.9
G6	188-373-1	188-373-1	21763	21063	19371	482142	1925	20362	2213.3	23447.4
G7	188-373-2	188-373-2	22161	21190	19646	500966	2104	22831	2267.7	24435.8
G8	188-373-3	188-373-3	23062	21898	20137	522552	2214	22942	2269.4	23261.3
G9	188-555-12	188-555-12	19826	19156	17749	484852	1846	22475	2081.6	25342.4
H1	NA-156-3	NA-156-3	21877	21669	20437	492777	738	87	796	87
H2	241-373-1	241-373-1	20835	20378	19035	458532	5565	12880	6731.3	15845.9
H3	241-373-2	241-373-2	20894	20266	18971	468677	5702	13460	6829.9	16097.5
H4	241-373-3	241-373-3	20314	19721	18356	461632.5	6828.5	14876	8121.2	18183.9
H5	NA-373-3	NA-373-3	20284	19692	18343	453838	772	963	930.3	1151.7
H6	NA-blank-4	NA-blank-4	1759	309	278	173307.5	987	439	4218.7	1813.6
H7	NA-blank-5	NA-blank-5	1315	242	210	188347	1031.5	464.5	4200.3	1893.2
H8	NA-blank-6	NA-blank-6	1907	310	281	171428	1136	458	4919.4	2128.9
H9	NA-555-3	NA-555-3	18986	18848	17820	431612.5	726	743	934.9	951.1
