well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	28281	27903	25992	598688	2291	33600	1867.9	28533
A2	194-555-1	194-555-1	18469	18304	17224	472065.5	1903	32208	2286.8	38930.6
A3	194-555-2	194-555-2	19293	19080	17805	503633	2126	37123	2299.2	40509.2
A4	194-555-3	194-555-3	18969	18751	17584	500282.5	2115.5	35421	2297.8	39247.3
A5	188-555-2	188-555-2	30882	29941	27714	608250	2555	38030.5	2034.7	31512.6
A6	221-373-1	221-373-1	25260	24775	23603	536807	2511	9769	2493.1	10084.7
A7	221-373-2	221-373-2	25134	24609	23400	554940	2723	10576.5	2547.9	10334.3
A8	221-373-3	221-373-3	29446	28227	26793	612475	3477	14190	2887.1	12017.5
A9	188-555-3	188-555-3	28947	27902	25497	636409	2919	45313	2143.4	34551.8
A10	229-555-1	229-555-1	23510	22773	21761	550755	2686	2417	2297.7	2195.6
A11	229-555-2	229-555-2	23962	23407	22425	543175	2477	1991	2192.3	1849.1
A12	229-555-3	229-555-3	25808	24755	23720	584046.5	2909	2821	2303.5	2388.2
B1	NA-blank-1	NA-blank-1	659	145	135	212815	630	213	2026.8	822.2
B2	194-373-1	194-373-1	22508	22089	20903	539563	4000	5062	4091	5537
B3	194-373-2	194-373-2	23474	22914	21908	544045	3099	3528	2837.2	3566.5
B4	194-373-3	194-373-3	22858	22449	21519	505609	3390	3656	3589.8	4436
B5	NA-156-1	NA-156-1	22298	21945	20542	474585.5	691	83	784.7	84.6
B6	221-555-1	221-555-1	30641	29273	25203	633726	2309	60866	1690.3	46558.9
B7	221-555-2	221-555-2	27392	25308	21822	651729	2432	71725.5	1717.4	52317.7
B8	221-555-3	221-555-3	27073	25339	22688	607716.5	2060	54772	1683	45845.4
B9	NA-373-1	NA-373-1	21655	20928	19749	481972	825	1357	932.6	1523.1
B10	229-373-1	229-373-1	22014	21411	20418	514712.5	2547	2506	2392.9	2486.7
B11	229-373-2	229-373-2	26871	25232	24131	590489	2818	2852	2238	2427.3
B12	229-373-3	229-373-3	27047	25401	24267	600427	3156	3213	2435	2644.1
C1	188-555-4	188-555-4	27625	27131	25267	598475	2375	33027	1946	28330.8
C2	211-555-1	211-555-1	31620	26326	19689	710766	3371	71584	2159.6	46850.6
C3	211-555-2	211-555-2	22636	18524	12692	749602.5	3999.5	95417	2346.5	57713.1
C4	211-555-3	211-555-3	41586	33673	22602	776926.5	3702	88178	2033.2	49909.9
C5	188-555-5	188-555-5	22520	22040	20553	497751	1713	23917	1876.8	26726.6
C6	222-373-1	222-373-1	21990	21665	20465	493567	3069	8035	3573.4	9904.8
C7	222-373-2	222-373-2	22844	22356	21116	515870.5	3083.5	8269	3414.6	9697.8
C8	222-373-3	222-373-3	22196	21792	20549	504931	3037	8346	3478.3	10134.9
C9	188-555-6	188-555-6	24666	23502	21676	572839.5	2316	35492	2053.3	31680.3
C10	257-555-1	257-555-1	23182	22165	19713	554813	1794	50531	1654.3	46386.7
C11	257-555-2	257-555-2	26574	24715	22241	601909	2052	53079	1699.1	44223.4
C12	257-555-3	257-555-3	26608	24021	21415	649774	2387	63607	1727.5	46615.7
D1	NA-555-1	NA-555-1	24061	23485	22442	478430.5	812	772	928.4	882.4
D2	211-373-1	211-373-1	28065	27238	25634	553219.5	4551.5	25274	4381.3	25509.3
D3	211-373-2	211-373-2	22130	21571	20372	516689	4373	22664.5	4548.7	24297.8
D4	211-373-3	211-373-3	24689	23924	22735	513887	4032	21924	4285	24127.3
D5	NA-blank-2	NA-blank-2	441	115	111	208605	1234	668	4182.7	2904.7
D6	222-555-1	222-555-1	25947	24932	22269	589566	1795	53871	1504.9	45730.7
D7	222-555-2	222-555-2	26838	25545	22939	601220	1822	54735	1470	45047.7
D8	222-555-3	222-555-3	33391	30555	27132	654432.5	1985	66574	1397.8	47371.6
D9	NA-156-2	NA-156-2	23590	22763	21380	519151.5	798	86	801.6	78.9
D10	257-373-1	257-373-1	26451	25302	23542	596174.5	2280.5	32087	1919.6	27465.8
D11	257-373-2	257-373-2	24524	23338	21694	570201.5	2126	29815.5	1930.4	27389.9
D12	257-373-3	257-373-3	28265	26157	24014	645943.5	2660	38719.5	1968.8	29667.3
E1	188-555-7	188-555-7	22379	22073	20572	501783	1776	25782.5	1905.3	28323.9
E2	215-555-1	215-555-1	22768	22443	21339	455512	2022	11806	2402.5	14075.2
E3	215-555-2	215-555-2	21033	20748	19636	442848	1870	10697.5	2348.8	13397.7
E4	215-555-3	215-555-3	19634	19362	18239	436610	1769	9850	2287.8	12771.9
E5	188-555-8	188-555-8	25030	24395	22646	539994.5	2042.5	32717	1983.8	32427.1
E6	223-373-1	223-373-1	22329	21870	20487	512307	4378	21040	4680.9	22747.2
E7	223-373-2	223-373-2	23296	22634	21410	515859	4060.5	20761.5	4376.6	22425.5
E8	223-373-3	223-373-3	23213	22491	21163	540934	4594	22247	4578.3	22843.5
E9	188-555-9	188-555-9	22631	21828	20207	533986	2019	29685	1996.6	29454.2
E10	258-555-1	258-555-1	32327	29666	26870	670241.5	4787	66745.5	3416.9	47746.4
E11	258-555-2	258-555-2	23669	21574	19234	625238	4606	61890	3667.2	48782.6
E12	258-555-3	258-555-3	19313	17440	15700	629910	4773.5	62777	3828.3	49464.9
F1	NA-373-2	NA-373-2	26826	25550	24196	480335.5	773	895	890.2	1042.9
F2	215-373-1	215-373-1	25854	25230	23945	511925	2710	15885	3009.5	18076
F3	215-373-2	215-373-2	35629	31281	29452	654718.5	3944	22180.5	3098.3	17954.8
F4	215-373-3	215-373-3	21845	21461	20134	463982	2365	14336	2807.8	17353.6
F5	NA-555-2	NA-555-2	28477	27645	26387	458193	759	664	925.6	817.2
F6	223-555-1	223-555-1	31054	20971	17985	759140	3972	83921	2296.9	50723.6
F7	223-555-2	223-555-2	48332	33057	28568	769815.5	3750	81737	2155.3	48444.5
F8	223-555-3	223-555-3	21361	13915	11985	773814	4507	88198	2422.4	51505.1
F9	NA-blank-3	NA-blank-3	458	93	88	188043.5	995.5	315	3677.9	1243.9
F10	258-373-1	258-373-1	23465	22743	21354	535194	4153.5	19575	4129.3	19723
F11	258-373-2	258-373-2	25600	24250	22989	569056	4568	21834	4212.4	20374.4
F12	258-373-3	258-373-3	24379	23072	21640	584675.5	4878	22505	4367.6	20255.3
G1	188-555-10	188-555-10	25073	24578	22929	533371	1949	27699	1944.4	28588.1
G2	220-555-1	220-555-1	26930	26237	25104	485831	1366	1957	1500.5	2209.5
G3	220-555-2	220-555-2	20346	19851	18983	489117	2310	4640	2568.6	5504.5
G4	220-555-3	220-555-3	20640	20238	19434	428799	1717	3582	2325.9	5184.3
G5	188-555-11	188-555-11	29240	28275	26711	549282	1855	27403	1817.4	27501.1
G6	224-373-1	224-373-1	27522	26404	25389	539770	1806	1552	1657.7	1523.1
G7	224-373-2	224-373-2	25058	24244	23183	515790	2239	2076	2180.5	2165.2
G8	224-373-3	224-373-3	26180	25395	24316	484960.5	1411.5	1412	1520.4	1605.8
G9	188-555-12	188-555-12	25533	24436	22821	551237	2032	30389	1929	29034.4
G10	188-373-1	188-373-1	24492	23688	22223	585863	2387	29781	2051.3	26131.9
G11	188-373-2	188-373-2	25843	24814	23303	586896	2392	29355	2066	26078.6
G12	188-373-3	188-373-3	25052	23886	22224	602226	2532	31255.5	2081.8	26507.9
H1	NA-156-3	NA-156-3	25895	24921	23194	420109.5	563	80	735.8	94.6
H2	220-373-1	220-373-1	25342	24464	23372	473089	1534	2297	1728.8	2707.8
H3	220-373-2	220-373-2	25878	24836	23818	470722	1835	3733	2138.5	4671.7
H4	220-373-3	220-373-3	30010	28786	27592	506525.5	1414	2084	1463.9	2277.2
H5	NA-373-3	NA-373-3	30918	29044	27151	491038	791	1054	881.1	1194.2
H6	224-555-1	224-555-1	25589	24806	24009	457369	818	588	970.1	697.4
H7	224-555-2	224-555-2	18386	18157	17494	441479	1412	1189.5	1721	1511.6
H8	224-555-3	224-555-3	20569	20201	19464	468666	910.5	754	1067.2	894.9
H9	NA-555-3	NA-555-3	18638	18312	17546	396187	641	718	961	1070.2
H10	217-373-1	217-373-1	21374	20592	19481	422358	2667	12980	3732.1	18492.4
