V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
1	1	1	0.9973999	1	1	0.9698388	1	0.9937598	0.9968799	1	0.9557982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9890795	0.9994799	1	1	1	1	1
1	1	1	0.9908257	1	0.9755352	0.9388379	1	0.8103976	0.5718654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.4869792	0.7890625	0.5989583	0.2161458	0.6640625	0.2708333	0.4322917	0.5859375	0.5546875	0.390625	0.8229167	0	0.2447917	0.8854167	0.6822917	0.734375	0.6119792	0.8385417	0.7369792	0.9270833	0.9010417	0.6848958	0.4791667	0.3515625	0.8489583	0.8645833	0.6171875	0.8619792	0.9114583	0.65625	0.8515625	0.1953125	0.5026042	0	0	0.6302083	0	0.1953125	0.5130208	0.5885417
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4770642	0	0	0	0	0	0	0	0	0.4036697	0	0	0	0.4036697	0	0	0	0	0
0	0.3264605	0	0	0.2577319	0.5670103	0.3848797	0.4020618	0.2577319	0.2852234	0	0	0.443299	0.2577319	0.8865979	0.556701	0.2577319	0.4364261	0	0.790378	0	0.4914089	0.5498282	0	0.3642612	0.742268	0.2577319	0.742268	0.5017182	0.2577319	0.6804124	0	0	0	0	0	0	0	0	0
0.2890909	0.3230303	0.5042424	0.32	0.3109091	0.3521212	0.3436364	0.6139394	0.5290909	0.370303	0.5733333	0.0690909	0.4678788	0.5290909	0.6309091	0.5084848	0.3945455	0.7018182	0.5321212	0.6466666	0.3333333	0.7018182	0.6309091	0.1624242	0.7139394	0.6169697	0.4151515	0.6745455	0.6030303	0.3133333	0.640606	0.1327273	0.150303	0	0.0715152	0.0557576	0.0454545	0	0.1339394	0.1842424
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9997361	0.996569	1	1	1	1	0.976247	0.9773027	0.9989443	0.9928741	0.9944577	0.9010293	1	1	1	0.9915545	1	1	0.996569	1	1	1	0.9955133	1	1	0.9941937	0.996569	1	1	0.9915545	1	0.9989443	0.9955133	0.9754553	0.9923463	0.9889153	0.9941937	0.9992082	0.9915545	0.9984165
0.9896818	0.983663	0.9713385	0.9859558	0.9977071	0.9845228	0.9742047	0.9785039	0.966466	0.9558613	0.9744912	0.8781886	0.9911149	0.9753511	0.9899685	0.9733448	0.9842362	0.985096	0.9710519	0.979937	0.9948409	0.9845228	0.9785039	0.9845228	0.9905417	0.9856693	0.9845228	0.9845228	0.9873889	0.9721984	0.9856693	0.9733448	0.9807968	0.9656062	0.961307	0.9736314	0.9825165	0.9839495	0.9452565	0.9438235
1	1	1	1	1	1	1	1	1	1	1	0.9744292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.930303	0.910101	0.9313132	0.8414142	0.9222222	0.8757576	0.9181818	0.959596	0.8050505	0.8575758	0.889899	0.9767677	0.9353535	0.9656566	0.9040404	0.9191919	0.9636363	1	0.9121212	0.9707071	0.9959596	0.9959596	0.9474747	1	0.9959596	0.9636363	0.989899	0.9575757	0.9828283	0.9636363	0.9959596	0.9959596	1	0.9929293	0.9707071	1	1	0.9191919	0.9333333	0.8676768
1	0.9710485	0.9937402	0.9624413	0.9988263	0.8865415	0.9902191	1	0.9119718	0.8967136	1	0.9291862	1	1	1	1	1	1	1	0.9898279	1	1	1	1	1	1	1	1	1	1	1	1	0.9898279	0.9960876	0.9968701	0.9628326	0.9894366	0.9910015	0.9315336	0.9299687
0.9938025	0.9929172	0.9924746	1	0.9929172	0.9752102	0.9880478	0.9911465	0.9637008	0.9818504	0.9756529	0.959274	0.9884905	0.9911465	0.9924746	0.9752102	0.9995573	1	0.9907039	0.9911465	0.9924746	0.9884905	0.9911465	0.9942452	1	0.9876052	0.9884905	1	1	1	0.9995573	0.9880478	0.9995573	1	0.9924746	1	0.9880478	0.9880478	0.9880478	0.9880478
0.9899556	0.9915907	0.9306237	0.9635599	0.9922915	0.9096006	0.8430274	0.9434711	0.8448961	0.8561084	0.9525812	0.8850736	0.9479094	0.9581873	0.9771082	0.9775754	0.9904228	0.9876197	0.9423032	0.9915907	0.9997664	0.9962626	0.9717356	0.9880869	0.9997664	0.979444	0.9738379	0.9936931	0.9976641	0.9789768	0.9974305	0.9841158	0.9964961	0.952114	0.9684653	0.9626256	0.9834151	0.9824807	0.9423032	0.8871759
1	0.9544787	0.7753304	0.9618208	0.9104258	0.9559472	0.8472834	0.9544787	0.9192364	0.9441997	0.9515418	0.9456682	1	0.8751836	0.9662262	1	0.9309838	0.9765052	0.7782673	1	0.9632893	0.9515418	0.886931	0.9765052	0.9853157	0.979442	0.9647577	0.9853157	1	0.9853157	0.9647577	0.9867842	0.9353892	0.9647577	0.9676946	1	0.9853157	0.9765052	0.8928047	0.9353892
1	0.9950495	0.9818482	0.9867987	0.9810231	1	0.9793729	1	0.9966997	0.9876238	1	0.9810231	0.9950495	1	0.9793729	0.9942244	0.9950495	1	1	0.9867987	1	0.9950495	1	0.9925743	0.9892739	1	0.9818482	1	1	0.9950495	0.9925743	0.9942244	1	0.9818482	0.9892739	1	1	0.9966997	0.9810231	0.990099
1	1	1	1	1	1	1	1	1	0.9113924	1	1	1	1	1	1	1	1	1	1	0.9873418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	0.9893939	1	0.980303	0.9954545	0.9954545	1	0.9166667	0.980303	1	1	1	1	0.9954545	0.9939394	1	1	0.9757576	1	1	1	0.980303	1	1	1	1	1	1	1	1	0.9954545	1	1	1	1	1	1	1	0.9772727
1	0.9894822	1	0.9967638	0.9838188	0.9749191	1	1	1	1	0.9894822	0.9846278	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9830097	1	0.9846278	1	1	0.9951456	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.9693666	0.9620976	0.9719626	0.9646937	0.9730011	0.9896158	0.9595016	0.9517134	0.9179647	0.9075805	0.9792316	0.9558671	0.9745587	0.9719626	0.970405	0.9662513	0.9719626	0.9709242	0.9584631	0.9724818	0.9730011	0.970405	0.9745587	0.9761163	0.9787124	0.970405	0.9735203	0.9714434	0.9781932	0.9667705	0.9932503	0.9781932	0.992731	0.9942887	0.9781932	0.9662513	0.9730011	0.9730011	0.9740394	0.9730011
0.9004975	0.9440299	0.9788557	0.97699	0.9446517	0.9241294	0.9496269	0.9850746	0.9483831	0.8451493	0.9490049	0.6001244	0.9297264	0.9689054	0.9925373	0.9745025	0.9745025	0.9981343	0.9496269	0.9496269	0.983209	0.9881841	0.9888059	0.8843284	0.9844527	0.9962686	0.9726368	0.9962686	0.9981343	0.9595771	1	0.9763682	0.9906716	0.7381841	0.869403	0.7263682	0.8818408	0.891791	0.8339552	0.7997512
1	1	0.9904762	0.9904762	0.9761904	0.952381	1	0.9857143	1	0.947619	1	1	1	1	1	0.9904762	1	1	0.9714286	1	1	0.9761904	0.9904762	1	1	1	1	1	1	1	1	1	1	1	0.952381	1	1	1	0.9380952	1
0.9979219	0.9983375	0.9783874	0.9896093	1	0.9866999	0.9912718	0.9908562	0.9908562	0.9900249	0.9887781	0.9123026	0.9858686	1	0.99335	0.9983375	0.9954281	0.9975063	0.9937656	0.9962593	0.9962593	1	0.9975063	0.9962593	0.9958437	0.9929343	0.9941812	0.9991688	0.9954281	0.9970906	0.9970906	0.9954281	0.982128	0.9775561	0.9671654	0.9804655	0.9862843	0.9783874	0.982128	0.9696592
1	0.989071	0.9513661	0.890164	0.9267759	0.9224043	0.8770492	0.952459	0.8224044	0.7732241	0.9284153	0.9628415	0.9530055	0.9797814	0.9027323	0.9770492	0.9885246	0.9907104	0.8360656	0.9273224	0.9295082	0.9797814	0.9054645	1	0.9628415	0.9180328	0.9098361	0.9590164	0.995082	0.9573771	0.9748634	1	1	0.9874317	0.9972678	0.9978142	0.9918033	0.9928962	0.9262295	0.9300547
