Geneid	S38.fastq.gz	S37.fastq.gz	S35.fastq.gz	S32.fastq.gz	S31.fastq.gz	S29.fastq.gz	S26.fastq.gz	S25.fastq.gz	S23.fastq.gz	S20prime.fastq.gz	S20.fastq.gz	S19.fastq.gz	S16.fastq.gz	S15.fastq.gz	S12.fastq.gz	S11.fastq.gz	S8.fastq.gz	S7.fastq.gz	S4.fastq.gz	S3.fastq.gz
GWK60_A00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A00033	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0
GWK60_A00055	96	121	391	300	392	318	445	205	252	139	123	94	114	60	63	92	31	39	61	47
GWK60_A00077	603	530	1153	1102	1505	1390	2409	914	1665	1370	1115	774	1046	628	768	979	327	556	346	272
GWK60_A00099	3127	2837	1591	1797	2178	2098	4090	1367	2849	2762	2187	1632	2359	1529	2548	2733	1421	2119	1875	1463
GWK60_A00121	718	634	719	329	500	397	736	301	614	489	409	307	588	359	479	528	260	410	407	320
GWK60_A00143	1256	1140	929	964	1201	1082	2073	717	1490	1236	966	731	991	612	1050	1076	478	812	687	457
GWK60_A00165	1418	1348	860	774	1082	836	1794	620	1049	1000	783	552	795	546	969	998	499	741	882	638
GWK60_A00187	446	456	434	446	511	504	1095	339	713	784	570	511	670	401	596	627	238	430	219	203
GWK60_A00209	428	400	454	441	567	488	917	291	497	404	310	259	332	184	290	285	139	224	244	164
GWK60_A00231	97	79	821	969	1680	1051	2352	780	1513	1132	877	624	766	477	424	442	72	124	42	26
GWK60_A00253	2339	2094	2056	1784	3246	2395	3521	1629	3329	2556	2140	1636	1945	1267	2667	3053	1415	2291	1689	1513
GWK60_A00275	94	98	173	156	130	142	204	90	127	65	49	41	45	18	32	50	29	51	105	73
GWK60_A00297	1718	1736	1345	1464	2437	1718	3180	1253	2523	2498	1833	1541	2146	1409	2466	2700	1157	2127	955	798
GWK60_A00319	2899	2532	1141	1190	1324	1189	2266	844	1584	1469	1209	959	1359	907	1510	1698	956	1525	1735	1442
GWK60_A00341	824	712	963	877	943	1055	2014	694	1266	1003	811	589	894	624	746	1160	499	1179	456	519
GWK60_A00363	1215	992	749	731	943	802	1511	531	1032	917	784	495	702	477	497	661	306	502	617	497
GWK60_A00385	40191	34029	57020	38488	30486	55976	101857	34508	58920	36633	28775	20737	30208	17125	24336	21925	11840	17350	24066	17166
GWK60_A00407	1103	1108	1826	1690	2676	2406	3422	1465	2926	2484	1989	1204	1827	1165	1322	1731	531	1048	440	338
GWK60_A00429	680	642	1021	967	1285	1072	3105	851	1659	1351	1108	909	1221	691	961	974	419	693	512	339
GWK60_A00451	157	128	173	218	280	254	435	165	324	288	239	188	218	133	188	198	96	157	122	70
GWK60_A00473	287	249	376	283	326	354	716	247	439	260	215	150	197	118	192	209	112	197	229	171
GWK60_A00495	519	444	473	482	704	551	825	301	578	512	391	294	329	212	360	405	199	345	237	169
GWK60_A00517	1064	850	134	231	220	182	273	130	177	97	100	73	56	25	87	109	171	195	469	362
GWK60_A00539	3	2	7	11	16	4	26	10	10	14	5	7	3	6	6	8	6	2	0	0
GWK60_A00561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GWK60_A00583	6	11	12	11	24	24	9	9	13	11	12	11	9	9	9	12	2	3	1	2
GWK60_A00605	141	131	402	488	551	631	969	365	617	389	363	225	349	189	278	318	106	197	62	49
GWK60_A00627	0	0	1	1	6	4	13	0	2	3	2	0	2	2	1	2	0	0	0	0
GWK60_A00649	4	3	13	10	30	29	37	15	20	24	14	19	23	11	17	12	3	0	2	0
GWK60_A00671	998	958	1441	1393	1704	1759	3360	1187	2179	1795	1407	924	1232	735	948	1023	396	572	353	251
GWK60_A00693	581	534	679	690	849	766	1348	473	935	687	639	440	582	386	598	707	325	498	352	297
GWK60_A00715	478	481	272	289	399	310	582	204	428	409	297	246	257	189	321	407	229	333	277	232
GWK60_A00737	340	346	189	165	125	146	349	115	171	102	60	59	68	51	73	51	60	65	185	155
GWK60_A00759	295	328	664	555	637	675	1149	426	621	374	345	246	292	180	208	244	135	164	278	191
GWK60_A00781	630	588	488	468	621	565	935	339	638	545	404	302	430	273	482	568	350	470	371	277
GWK60_A00803	547	623	428	458	505	483	785	310	556	388	341	251	281	172	311	376	233	326	350	278
GWK60_A00825	301	329	129	96	126	101	122	37	50	42	40	34	33	19	38	40	47	121	242	139
GWK60_A00847	424	505	785	790	1456	937	1116	570	970	1013	747	510	780	479	628	747	278	490	382	248
GWK60_A00869	8230	6772	475	325	222	326	535	189	226	168	149	148	169	106	797	918	1988	2442	5372	4616
GWK60_A00891	720	727	583	756	1044	799	903	414	618	529	425	238	304	191	322	407	202	315	366	259
GWK60_A00913	704	764	413	400	495	444	646	304	440	302	225	204	204	125	279	350	250	353	460	311
GWK60_A00935	4346	4241	5133	5214	7377	6751	7715	3676	5866	5776	4467	2585	4449	2881	2906	3253	948	1604	1589	1174
GWK60_A00957	1977	1590	1033	1117	1272	1095	1723	665	952	643	505	368	325	253	547	633	596	914	1239	960
GWK60_A00979	150	146	156	174	403	190	298	140	263	223	150	107	142	136	167	212	47	77	58	43
GWK60_A01001	2820	2712	3783	3850	6484	4795	4959	2353	4824	5443	4084	2259	3850	2340	2247	2532	749	1690	942	688
GWK60_A01023	807	842	1368	1480	2035	1706	2627	953	1812	1480	1177	819	993	673	872	1043	392	573	359	274
GWK60_A01045	334	323	141	100	185	99	194	64	196	112	100	106	117	67	162	155	113	157	252	169
GWK60_A01067	83	93	217	250	371	286	235	162	252	145	139	85	90	60	75	70	53	70	70	69
GWK60_A01089	339	275	240	392	725	408	382	228	452	439	314	253	207	146	261	323	186	340	256	179
GWK60_A01111	1895	1220	115	84	277	110	149	59	113	88	61	59	66	63	108	140	92	189	629	506
GWK60_A01133	2891	1626	114	117	278	223	424	231	986	1623	1221	1082	1685	1390	1788	2247	946	1826	1081	919
GWK60_A01155	26599	26152	62167	64389	91888	67847	92821	34413	60696	52239	39197	28375	38336	24715	32776	32281	13385	20652	814	691
GWK60_A01177	41	50	610	491	789	602	858	267	405	277	242	129	188	137	106	156	55	104	46	25
GWK60_A01199	18	24	62	45	61	65	123	46	50	68	24	32	49	19	40	37	9	21	13	7
GWK60_A01221	214	192	899	845	1700	1049	1345	511	880	824	575	442	519	344	396	482	131	264	48	53
GWK60_A01243	29	28	45	72	62	63	75	30	64	33	30	22	40	26	34	37	22	23	12	8
GWK60_A01265	6476	5058	2844	2241	2818	2867	4694	1906	3315	2971	2254	1778	2208	1327	3415	3747	2220	3941	4302	3454
GWK60_A01287	679	631	232	230	221	275	505	200	357	309	257	219	309	171	363	388	233	339	373	247
GWK60_A01309	1645	1327	988	601	877	1033	1771	964	1357	1857	1572	1159	1284	724	1023	1069	675	908	711	672
GWK60_A01331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A01353	20079	16879	1220	616	414	817	957	438	427	147	165	167	171	181	1277	1440	4051	5514	13878	11495
GWK60_A01375	29746	24795	2464	1619	803	1750	3289	1106	1073	703	584	520	706	551	4897	4785	7692	10000	18837	16523
GWK60_A01397	20	19	13	8	12	23	28	3	13	6	3	11	11	2	16	14	7	16	7	12
GWK60_A01419	285	321	531	501	685	646	1180	414	693	590	432	264	376	245	338	365	108	161	19	19
GWK60_A01441	1413	1505	889	814	1305	853	987	425	712	632	487	285	486	317	478	550	335	477	439	303
GWK60_A01463	1501	1285	10480	10546	14275	11341	20231	7019	11337	8285	6270	4751	6168	3760	4281	5048	1083	2051	192	168
GWK60_A01485	1057	961	1116	950	1355	1201	1965	756	1410	1273	1001	814	1066	715	1446	1634	777	1316	715	529
GWK60_A01507	232	262	967	1008	1132	988	1854	678	1289	826	651	516	793	493	604	656	179	282	170	102
GWK60_A01529	1254	1535	13275	13098	32881	17056	11812	11281	17635	13061	10091	5158	7012	4604	2863	5520	1039	2630	472	359
GWK60_A01551	2570	2226	2091	2384	3319	2248	3928	1559	3143	2772	2244	1915	2205	1473	2469	2800	1123	1795	813	581
GWK60_A01573	568	651	329	331	443	433	742	322	690	882	661	523	759	440	641	759	306	454	256	203
GWK60_A01595	34931	28939	4273	4596	6672	5911	10233	4248	8127	5619	4031	3636	3590	2664	4110	4040	1838	2319	11464	7828
GWK60_A01617	3295	3248	11102	9216	6021	8549	16529	4281	3332	961	757	311	257	106	219	218	264	336	1545	1043
GWK60_A01639	6	11	563	214	877	400	324	234	231	91	57	76	36	55	18	41	3	9	5	4
GWK60_A01661	1525	1474	1779	1707	2165	1934	3478	1160	2308	1957	1605	1203	1849	1079	1722	1956	837	1359	981	704
GWK60_A01683	232	251	2237	2148	3816	2599	4944	1655	3111	2305	1850	1136	1519	818	513	557	151	290	111	78
GWK60_A01705	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GWK60_A01727	1443	1216	864	691	999	864	1314	535	1158	862	724	549	825	476	797	921	539	873	925	702
GWK60_A01749	4	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
GWK60_A01771	1010	974	458	361	382	448	730	271	402	234	194	133	161	94	205	188	174	247	627	468
GWK60_A01793	607	531	287	276	360	357	736	270	648	700	589	453	695	427	513	627	237	397	223	177
GWK60_A01815	41	64	1173	1370	3957	1953	3462	1309	3254	2304	1856	1309	1997	1139	773	744	32	58	12	14
GWK60_A01837	205	263	623	695	1135	821	1450	558	1181	957	805	612	957	558	819	924	273	440	147	124
GWK60_A01859	939	979	1873	1630	1887	2030	3604	1197	1801	1332	1047	768	1025	660	841	868	435	694	330	230
GWK60_A01881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A01903	3732	3236	907	658	573	664	1008	438	601	385	318	264	266	177	607	675	999	1298	2891	2307
GWK60_A01925	6640	5788	2218	1678	1385	1814	2831	1092	1348	585	433	406	443	330	1637	1954	2127	3126	5483	4509
GWK60_A01947	290	388	279	279	344	252	473	165	313	334	270	214	290	192	426	494	289	461	339	291
GWK60_A01969	17	20	381	470	738	817	1691	678	1096	673	528	390	371	217	130	110	18	42	17	6
GWK60_A01991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A02013	5111	4249	1593	1215	1211	1373	1745	743	971	713	487	394	424	274	785	845	1013	1386	3662	2741
GWK60_A02035	18481	10919	321	199	1433	603	1122	884	2159	2317	1736	1842	1788	2314	1499	3080	216	489	962	1714
GWK60_A02057	10034	6938	105	87	381	218	476	348	912	947	736	650	623	699	429	869	38	82	41	55
GWK60_A02079	12	9	23	18	48	28	37	18	24	26	13	8	20	12	11	13	3	8	6	1
GWK60_A02101	511	448	470	435	501	468	1156	403	636	474	375	253	365	197	348	321	171	255	394	332
GWK60_A02123	8050	7793	4019	3480	4140	3469	5229	2284	2767	1642	1184	829	818	573	507	610	304	439	820	852
GWK60_A02145	1	0	1	1	1	2	0	1	0	2	0	0	1	1	1	0	0	0	0	0
GWK60_A02167	3264	2941	2717	3143	4827	4005	6583	2485	4572	3660	2877	2216	2747	1859	2533	2891	1246	1966	1376	1126
GWK60_A02189	1124	1030	662	829	944	938	1652	534	1281	1769	1397	1060	1711	1091	1476	1616	599	984	466	454
GWK60_A02211	1543	1433	1195	1415	2425	1444	1257	769	1433	1213	1014	680	775	564	845	1073	544	1059	906	684
GWK60_A02233	414	491	734	698	1643	1212	428	659	1009	948	725	214	379	219	202	528	136	571	353	253
GWK60_A02255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A02277	351	353	857	835	2093	1358	636	726	1133	1015	731	276	425	264	286	442	143	412	202	145
GWK60_A02299	922	804	1264	1104	1721	1311	1980	760	1475	1077	930	676	920	670	839	949	365	560	465	382
GWK60_A02321	929	790	647	649	896	829	1355	496	847	680	517	415	527	326	480	520	263	418	465	323
GWK60_A02343	2408	2229	1322	1501	2095	1662	2712	1111	2289	2426	1688	1426	1809	1273	2100	2358	1050	1801	1303	986
GWK60_A02365	1137	1224	611	561	735	672	1051	477	861	773	640	390	520	322	610	718	494	819	892	698
GWK60_A02387	2526	2247	1896	2256	4305	3292	2560	2052	3569	3664	2635	1587	2011	1342	1835	2728	1102	2743	1689	1364
GWK60_A02409	508	516	282	390	509	339	344	210	441	353	308	266	291	235	389	446	289	398	380	306
GWK60_A02431	477	417	860	856	1379	1151	2020	765	1205	1075	751	579	738	460	679	650	313	520	257	207
GWK60_A02453	3089	2804	3489	3907	5818	4837	7427	2925	5802	5334	4155	2977	4139	2652	3464	4005	1541	2628	1579	1288
GWK60_A02475	766	749	636	670	772	690	1051	416	814	606	458	351	515	323	448	541	318	479	467	402
GWK60_A02497	2203	2028	918	980	1261	963	1252	638	981	642	499	408	398	271	466	603	495	736	1545	1220
GWK60_A02519	365	416	547	594	1163	806	460	493	984	988	748	314	507	287	348	651	182	563	276	216
GWK60_A02541	130	150	237	244	624	428	182	236	416	403	349	137	197	125	105	225	63	222	118	90
GWK60_A02563	798	871	1273	1370	2878	1899	2087	1150	2281	2235	1577	893	1298	844	822	1207	401	1061	543	391
GWK60_A02585	2465	2290	2033	2318	3817	2904	4720	1841	3580	3285	2623	1759	2654	1709	2533	3268	1289	2681	1068	876
GWK60_A02607	410	413	245	214	234	201	334	145	199	124	78	67	69	47	73	103	68	97	215	171
GWK60_A02629	936	761	409	394	502	408	740	284	513	370	294	249	232	207	339	372	232	388	508	434
GWK60_A02651	709	717	830	901	1442	1139	2086	717	1419	1209	950	653	806	593	591	678	216	347	240	201
GWK60_A02673	269	227	496	434	605	528	1025	410	594	426	304	275	277	175	191	216	89	142	152	94
GWK60_A02695	482	454	205	195	206	233	449	157	324	291	242	175	304	169	262	257	135	219	208	184
GWK60_A02717	1142	1077	1264	1333	2281	1763	3203	1222	2400	2183	1800	1384	1958	1215	1605	1616	553	947	560	384
GWK60_A02739	238	198	409	390	406	492	944	303	509	403	325	217	313	170	276	274	126	165	134	85
GWK60_A02761	1751	1688	969	945	1222	1044	2070	755	1447	1453	1095	868	1232	845	1533	1612	851	1269	1039	761
GWK60_A02783	565	490	541	495	756	556	1243	440	706	649	475	402	513	346	585	586	228	397	253	206
GWK60_A02805	0	1	2	0	0	0	1	1	1	1	0	2	0	0	1	0	1	2	0	0
GWK60_A02827	92	95	180	219	314	187	365	114	253	173	117	82	126	73	119	117	50	81	71	58
GWK60_A02849	500	512	255	351	446	399	755	270	561	672	472	427	549	349	442	519	237	353	241	195
GWK60_A02871	496	487	767	839	1245	994	1757	690	1262	985	731	561	630	412	541	535	178	277	212	144
GWK60_A02893	4496	4110	4791	4785	6392	5507	10002	3231	6548	6687	5034	3281	5196	2815	3431	3186	1093	1760	1350	1117
GWK60_A02915	1182	919	533	499	584	584	1032	343	610	563	429	303	441	244	597	557	335	563	650	483
GWK60_A02937	1096	994	1445	1553	2129	1775	2746	957	1711	1217	952	680	864	592	963	975	372	644	404	345
GWK60_A02959	449	311	330	427	688	478	934	326	654	695	534	396	694	376	597	562	196	307	240	216
GWK60_A02981	41	49	21	19	54	32	59	20	35	37	23	20	21	10	26	24	11	13	29	18
GWK60_A03003	4451	3958	1260	1121	1761	1355	2214	843	1821	2264	1787	1382	2594	1708	4343	4534	1952	3119	2360	2072
GWK60_A03025	271	320	313	394	640	500	974	339	683	956	709	455	811	460	619	602	227	349	149	138
GWK60_A03047	20587	17995	2308	1244	815	1430	2019	799	760	499	392	349	391	326	2269	2367	4443	6506	13053	10813
GWK60_A03069	284	407	245	234	277	249	604	201	373	318	265	198	210	165	283	307	160	221	201	172
GWK60_A03091	1900	1606	101	146	95	123	243	95	101	98	66	58	95	53	152	227	299	542	966	818
GWK60_A03113	31196	27346	13680	10571	8541	11658	17388	6293	7648	5521	4254	3295	4429	3141	7495	9374	8044	12111	21528	17182
GWK60_A03135	390	360	248	180	206	195	290	112	192	120	103	70	104	40	125	156	113	157	249	158
GWK60_A03157	39245	33178	2667	1422	811	1620	2371	979	973	655	517	506	688	606	5369	5801	9472	12554	24687	21580
GWK60_A03179	1	3	5	0	4	1	3	1	9	6	4	2	5	4	1	4	0	4	0	1
GWK60_A03201	477	467	513	447	549	517	958	315	616	597	435	336	454	291	409	486	177	318	286	198
GWK60_A03223	405	467	1116	1118	1491	1312	2414	781	1672	1413	1283	855	1301	762	1116	1216	417	655	217	177
GWK60_A03245	4219	3722	5547	5863	9571	6968	11406	4310	7743	6689	5550	4306	6356	4432	6633	7783	2209	3900	1508	1162
GWK60_A03267	32261	28447	5267	3768	4136	4288	5922	2433	3203	3707	2679	2236	3239	2098	5543	6489	8419	11949	23090	19742
GWK60_A03289	33	28	20	11	35	10	28	8	15	13	11	7	9	1	10	14	2	6	16	8
GWK60_A03311	443	434	535	511	664	610	989	400	674	490	424	290	348	261	343	405	168	310	270	234
GWK60_A03333	695	725	497	499	557	488	855	351	657	553	464	314	461	326	463	546	320	428	494	378
GWK60_A03355	2189	2068	2571	2263	2741	2546	4990	1658	3135	2848	2309	1632	2512	1461	2442	2511	1262	2015	1355	866
GWK60_A03377	378	444	417	305	429	365	576	212	537	564	420	346	541	302	538	646	305	486	399	268
GWK60_A03399	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GWK60_A03421	3051	2914	4399	3717	4885	3985	8579	2748	5229	4271	3565	2504	3919	2016	2720	2346	785	1037	1076	756
GWK60_A03443	537	548	803	737	1078	851	1680	635	1217	909	700	601	706	455	677	687	289	409	284	225
GWK60_A03465	36	30	99	99	111	62	111	43	51	28	32	12	18	6	18	11	8	7	13	4
GWK60_A03487	141	105	12	19	62	20	45	21	30	24	12	18	25	23	51	85	79	145	128	175
GWK60_A03509	407	417	404	397	485	405	720	284	615	580	452	332	435	338	467	526	265	409	243	199
GWK60_A03531	1776	1376	323	275	258	351	579	220	240	82	77	57	45	28	39	40	119	127	945	673
GWK60_A03553	508	472	155	167	222	230	171	107	114	49	38	19	14	7	6	14	26	39	309	186
GWK60_A03575	1412	1365	2210	2145	2917	2326	3791	1468	2758	2556	1990	1334	1991	1321	2028	2280	935	1645	940	696
GWK60_A03597	4918	4729	8271	8124	13634	10181	16094	5942	11711	10251	7868	5878	9087	5958	7231	8901	2794	4672	2574	1927
GWK60_A03619	210	254	2010	2082	6450	2313	2130	1172	2111	1188	993	654	680	404	326	451	91	198	42	34
GWK60_A03641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A03663	331	345	168	196	243	196	412	132	262	274	210	174	263	158	280	282	139	232	209	163
GWK60_A03685	0	1	0	1	1	1	0	0	3	1	6	2	1	1	0	0	0	0	0	1
GWK60_A03707	417	429	229	117	248	149	290	129	293	213	166	147	184	129	218	251	169	249	330	253
GWK60_A03729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_A03751	1623	1542	2855	3094	5162	4061	6605	2314	4763	3999	3557	2428	3670	2271	3236	3447	985	1724	750	558
GWK60_A03773	404	448	224	235	420	299	272	247	438	707	547	322	592	346	426	564	187	402	221	195
GWK60_A03795	381	477	1848	1069	3420	1787	948	1008	1396	1698	1255	342	991	546	337	539	73	236	169	84
GWK60_A03817	1002	1095	1104	1123	2092	1554	808	972	1879	2659	2165	992	1862	1249	563	1611	372	1112	560	489
GWK60_A03839	846	881	864	951	1247	1060	2014	717	1446	1533	1140	893	1126	715	1129	1171	467	777	508	368
GWK60_A03861	548	468	213	187	225	185	423	122	212	156	110	93	165	86	150	187	152	217	320	253
GWK60_A03883	488	470	319	297	421	337	713	242	428	347	259	200	286	156	315	352	200	345	255	158
GWK60_A03905	9456	7429	1921	1414	1261	1579	1952	857	921	404	340	239	192	142	253	290	947	948	5024	3891
GWK60_A03927	1398	1303	911	749	1434	1098	366	512	627	478	346	133	222	118	113	177	138	276	1037	718
GWK60_A03949	1477	1458	1530	1574	2408	2021	1309	1023	1778	1651	1285	591	924	592	608	1003	351	783	1145	832
GWK60_A03971	1581	1405	909	708	1686	1121	1196	783	1469	2454	1783	1066	1579	960	1003	1314	478	894	706	515
GWK60_A03993	610	664	1379	1708	2595	1881	3407	1236	2350	2599	2002	1371	2127	1184	1587	1745	467	902	369	280
GWK60_A04015	3768	3672	2236	2328	2493	2372	3604	1687	2489	1880	1386	1023	1150	726	1188	1574	1102	1930	3007	2355
GWK60_A04037	220	239	384	427	635	476	788	311	563	499	413	279	415	226	382	408	137	212	124	87
GWK60_A04059	1480	1493	2226	891	1799	1042	2251	856	1805	1361	1152	776	1609	925	1131	1126	542	724	783	595
GWK60_A04081	958	914	1151	1249	2716	1798	764	839	1422	1274	880	390	728	478	442	855	269	870	643	495
GWK60_A04103	1647	1366	1108	886	857	982	1284	495	671	324	328	232	218	197	243	346	368	602	896	701
GWK60_A04125	567	586	568	462	674	595	947	370	847	698	556	427	549	351	621	711	332	517	388	299
GWK60_A04147	2182	1817	554	517	561	450	691	280	285	144	143	102	106	69	94	124	145	186	1192	901
GWK60_A04169	505	521	406	487	966	659	445	340	545	650	493	237	423	280	353	526	222	557	336	236
GWK60_A04191	1103	1075	900	838	1586	1083	1695	732	1483	1997	1609	1222	1753	1138	1714	2268	747	1203	458	333
GWK60_A04213	975	860	971	838	1584	937	1166	411	552	731	589	413	512	303	657	779	318	532	408	300
GWK60_A04235	1191	1244	1490	1709	2961	2097	3032	1196	2339	2290	1761	1393	1832	1266	1571	2122	698	1310	616	516
GWK60_A04257	573	582	392	506	630	508	1031	332	782	921	671	614	843	535	691	786	323	464	323	256
GWK60_A04279	230	221	107	94	135	112	271	102	162	141	145	127	152	75	206	202	101	150	95	95
GWK60_A04301	720	666	434	584	820	614	580	286	525	424	335	286	255	196	387	465	335	520	419	345
GWK60_A04323	3142	3005	4798	5344	10373	6561	10029	4004	7885	6941	5166	3838	4950	3380	3321	4023	979	1778	864	690
GWK60_A04345	1160	1209	2054	1883	2913	2337	3652	1401	2779	2202	1885	1404	1949	1270	1413	1789	451	782	522	397
GWK60_A04367	543	495	1001	949	1436	1202	1967	742	1279	1217	867	643	942	559	797	889	313	529	256	220
GWK60_A04389	298	297	300	267	277	245	333	127	153	79	61	51	50	34	33	36	43	54	222	134
GWK60_A04411	39228	33152	2883	1794	1443	2263	3415	1318	1610	1203	896	718	906	755	3847	4605	8486	12076	24938	20471
GWK60_A04433	775	850	637	706	921	743	977	380	648	438	368	267	221	166	276	302	222	337	557	426
GWK60_A04455	1025	970	578	695	940	775	970	402	872	1102	915	632	976	645	1115	1501	761	1171	977	822
GWK60_A04477	181	137	94	86	146	109	188	69	127	76	73	49	76	54	82	112	58	88	78	60
GWK60_A04499	977	791	283	214	272	243	406	154	221	157	113	109	141	90	140	180	170	245	468	357
GWK60_A04521	604	551	389	447	504	449	907	298	745	811	745	584	756	492	623	763	306	478	341	313
GWK60_A04543	89	80	548	655	1143	683	1108	396	841	629	484	329	488	276	449	441	102	165	33	20
GWK60_A04565	1270	1224	1279	1247	1568	1362	2304	930	1771	1826	1451	1079	1627	942	1117	1251	390	586	344	233
GWK60_A04587	2125	2053	2018	2172	3383	2296	4525	1657	3170	2836	2283	1700	2252	1479	2224	2665	1120	1982	1107	877
GWK60_A04609	3036	2817	2115	2138	3124	2472	4232	1508	3027	2834	2258	1760	2496	1642	2733	3212	1305	2149	1879	1421
GWK60_A04631	1344	1400	1737	1772	2610	2140	3776	1320	2428	2011	1592	1216	1427	965	1289	1659	755	1257	824	689
GWK60_A04653	1156	1161	955	980	1499	1131	2162	807	1656	1505	1198	966	1337	862	1481	1696	776	1339	633	493
GWK60_A04675	9049	7432	2339	3624	7584	5001	9399	3791	9178	9919	7457	6591	11121	9079	11124	12813	1625	2474	1220	979
GWK60_A04697	1	0	0	1	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0
GWK60_B00011	8	8	2	2	2	2	6	3	0	2	0	0	0	0	1	4	1	0	0	0
GWK60_B00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_B00055	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GWK60_B00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_B00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GWK60_B00121	2202	1983	498	481	789	562	990	323	569	420	355	250	341	225	540	518	379	464	880	584
GWK60_B00143	479	478	362	227	345	248	544	156	483	361	276	228	369	212	336	391	208	330	323	235
GWK60_B00165	761	768	737	766	974	815	1334	516	849	606	468	374	338	276	419	453	332	554	596	485
GWK60_B00187	1852	1582	333	239	210	221	403	152	156	75	58	47	28	33	46	60	203	226	1023	808
GWK60_B00209	409	446	209	176	127	134	250	75	89	45	41	30	28	14	27	30	43	69	312	247
GWK60_B00231	1885	1714	1180	1135	1654	1296	2629	1098	2095	1795	1350	1035	1311	882	1098	1233	507	808	664	597
GWK60_B00253	1706	1626	1172	1153	1567	1313	2345	938	1852	1511	1324	1013	1321	849	1585	1790	854	1334	953	699
GWK60_B00275	1293	1313	1984	1785	2047	1921	3205	1100	1900	1489	1176	903	1251	723	1184	1340	796	1095	1071	751
GWK60_B00297	7	6	3	1	2	2	1	1	9	4	7	10	9	8	8	6	6	8	7	3
GWK60_B00319	2764	2068	688	573	492	574	931	393	419	227	201	148	136	95	89	122	283	269	1176	1031
GWK60_B00341	838	816	561	559	686	598	1371	472	881	779	590	480	670	408	785	839	384	607	468	347
GWK60_B00363	597	361	537	492	669	628	965	419	734	508	411	315	461	297	382	440	225	371	266	216
GWK60_B00385	2539	2156	597	590	572	663	1137	414	737	566	505	415	446	302	943	1048	814	1354	1328	1152
GWK60_B00407	7163	5119	7728	6331	10052	6994	8238	3450	6433	4625	3473	2626	3848	2466	4107	4058	2036	3448	3817	2775
GWK60_B00429	20	22	43	26	39	52	85	44	49	45	44	26	40	23	32	26	10	18	8	15
GWK60_B00451	294	249	179	164	194	166	373	133	268	173	187	133	190	128	219	203	141	225	150	97
GWK60_B00473	1594	1429	1221	1161	1416	1295	2546	902	1673	1484	1256	935	1307	855	1365	1479	744	1170	885	729
GWK60_B00495	675	603	728	661	883	755	1593	545	988	813	664	448	667	408	614	644	305	428	317	232
GWK60_B00517	6051	5617	3773	4331	5914	5008	9240	3435	7111	6796	5500	4297	5714	3857	6574	7932	3697	6833	3268	2804
GWK60_B00539	17	20	6	5	4	4	9	2	15	8	2	4	8	8	13	18	8	18	5	0
GWK60_B00561	5	5	24	23	20	31	41	21	35	29	21	15	21	13	8	11	3	13	6	3
GWK60_B00583	666	614	1245	1220	1806	1500	2860	1007	2209	1999	1621	1270	1990	1184	1510	1781	548	845	303	274
GWK60_B00605	466	547	1228	1278	2233	1622	2707	972	2163	1557	1293	970	1288	790	877	1081	309	506	292	187
GWK60_B00627	3761	3223	253	209	120	172	167	88	105	52	35	36	24	36	45	76	269	318	1989	1633
GWK60_B00649	1270	1311	2443	2808	5589	3587	4761	2077	4259	3892	2985	1851	2939	1942	2157	2745	722	1359	580	425
GWK60_B00671	865	922	622	488	423	524	1040	389	512	268	237	177	189	115	163	153	138	202	357	256
GWK60_B00693	412	450	795	768	1052	933	1804	595	1061	809	615	461	565	313	566	604	230	351	239	183
GWK60_B00715	1014	916	376	298	304	291	631	217	348	202	174	139	148	98	130	167	165	225	530	440
GWK60_B00737	2069	1161	4728	4606	6549	5649	8227	3395	5344	4130	2975	2298	2826	1876	3419	3228	1291	2355	1093	823
GWK60_B00759	253	265	269	273	272	273	428	170	281	228	198	130	154	121	229	255	123	192	89	79
GWK60_B00781	1791	1811	1762	1867	5122	2192	2813	1347	2793	2572	2085	1600	2233	1654	2400	3075	936	1885	788	557
