Geneid	S38.fastq.gz	S37.fastq.gz	S35.fastq.gz	S32.fastq.gz	S31.fastq.gz	S29.fastq.gz	S26.fastq.gz	S25.fastq.gz	S23.fastq.gz	S20prime.fastq.gz	S20.fastq.gz	S19.fastq.gz	S16.fastq.gz	S15.fastq.gz	S12.fastq.gz	S11.fastq.gz	S8.fastq.gz	S7.fastq.gz	S4.fastq.gz	S3.fastq.gz
GWK60_G08855	151	191	262	194	273	260	536	193	327	252	197	138	203	123	191	224	102	145	103	83
GWK60_G08877	964	926	770	678	1021	898	1849	659	1336	1203	948	709	1078	679	1049	1183	516	740	611	438
GWK60_G08899	145	184	165	158	181	173	257	115	163	119	85	68	75	63	73	72	53	75	106	69
GWK60_G08921	459	386	413	303	301	322	520	203	245	185	187	112	129	94	150	184	117	184	318	224
GWK60_G08943	1	1	1	0	0	0	6	0	0	3	3	1	2	1	2	2	0	0	0	0
GWK60_G08965	372	348	428	395	511	434	800	244	468	338	249	178	237	138	181	187	84	112	148	89
GWK60_G08987	431	368	1165	966	1211	896	1721	577	1005	666	530	386	461	305	265	226	63	120	104	67
GWK60_G09009	232	168	420	433	481	486	939	299	500	351	314	179	300	157	240	208	100	150	245	165
GWK60_G09031	667	685	789	832	849	831	1507	503	986	730	554	407	524	309	472	525	313	452	388	283
GWK60_G09053	795	746	301	246	280	261	458	168	241	171	132	90	103	73	136	148	160	229	404	353
GWK60_G09075	721	811	1061	1267	1653	1409	2784	954	1663	1644	1308	943	1250	715	932	1016	406	553	537	319
GWK60_G09097	2151	2016	2229	2430	3932	2838	4776	1902	3675	3514	2722	1944	2593	1617	2251	2562	751	1385	720	594
