well	sample	name	n_root	n_cells	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	188-555-1	188-555-1	25384	24883	23156	483397	1747.5	20745	2008.3	24396.3
A2	194-555-1	194-555-1	22033	21825	20471	489059	2204	31427	2452.5	35924.3
A3	194-555-2	194-555-2	22199	22004	20266	470200	2033	30038	2371.7	36004.3
A4	194-555-3	194-555-3	21787	21632	20277	455961	1454	20047	1799.1	25183.2
A5	188-555-2	188-555-2	24280	23961	22351	448672	1467	18760	1912.2	24725.3
B1	NA-blank-1	NA-blank-1	516	197	191	286910	621	426	1420.3	1396.4
B2	194-373-1	194-373-1	23631	22705	21866	454494	2500	2007	2992.8	2517.4
B3	194-373-2	194-373-2	25754	24792	23766	497074.5	2590	2311	2727	2503.7
B4	194-373-3	194-373-3	22831	22460	21510	442712	2404	2174	3004.9	2750
B5	NA-373-1	NA-373-1	23424	23029	21719	439603	787	786	1013.1	1015.2
C1	188-555-3	188-555-3	20771	20413	19029	469592	2059	24904	2451.9	30352.2
C2	233-555-1	233-555-1	22184	21718	19411	524115	3369	45163	3262.3	44650.7
C3	233-555-2	233-555-2	23666	22968	20945	519406	3392	41895	3254.2	41720.4
C4	233-555-3	233-555-3	27840	26752	24096	566841.5	3551	45080	3063.6	40234.6
C5	NA-156-1	NA-156-1	16417	16328	15314	391236	600	79	899.2	108.8
D1	NA-373-2	NA-373-2	17452	17240	16264	391630	726	643	1075.8	974.7
D2	233-373-1	233-373-1	22140	21714	20308	504227.5	9027	1525	9349	1666.3
D3	233-373-2	233-373-2	20687	20328	19022	482886.5	7505.5	1195	7965.4	1377.8
D4	233-373-3	233-373-3	20477	19827	18881	409070	11704	10481	17588.7	16049.6
D5	NA-555-1	NA-555-1	17343	17148	16354	418412.5	821	725	1121.9	1001.7
E1	NA-555-2	NA-555-2	15456	15376	14624	362346.5	676	443	1125.9	727.4
E2	188-373-1	188-373-1	19390	19128	17957	422179	1817	19312	2515.8	26962
E3	188-373-2	188-373-2	18097	17902	16879	391760	1651	17646	2494.9	27568.2
E4	188-373-3	188-373-3	17266	17065	15937	360742	1523	18297	2560.9	31130.8
E5	NA-blank-2	NA-blank-2	194	68	65	245694	801	484	2166.5	2027.9
F1	NA-156-2	NA-156-2	15862	15792	14852	396021.5	611	80	888.9	106.8
F2	211-555-1	211-555-1	31967	30062	22415	663603	4183	92852	2947	66143.6
F3	211-555-2	211-555-2	24919	22740	14738	669797	4394	95415.5	3080.4	69205.4
F4	211-555-3	211-555-3	29556	26973	20082	611600.5	3395	70785	2681.4	57607.2
F5	NA-555-3	NA-555-3	17144	16949	16154	403930.5	747	640	1065.2	921.8
G1	188-555-4	188-555-4	18136	17947	16702	410574.5	1776	19960	2534.3	29232.6
G2	218-555-1	218-555-1	24188	23031	14772	681942	4615.5	104691	3216.7	72462.6
G3	218-555-2	218-555-2	23678	22202	14322	675968.5	4412.5	102875.5	3183.8	73368.6
G4	218-555-3	218-555-3	18738	17314	11496	640056.5	3663	89881	2920.9	71379.1
G5	188-555-5	188-555-5	19646	19457	18177	431507	1743	19979	2293.1	27381.5
H1	NA-373-3	NA-373-3	17461	17175	16226	392902	707	582.5	1043.6	856.1
H2	241-555-1	241-555-1	16045	14931	9518	484064.5	4318.5	47341	5326.7	58106.3
H3	241-555-2	241-555-2	19916	18540	11663	654155	4907	98512	3574.9	71843.2
H4	241-555-3	241-555-3	17511	16264	10260	498204.5	4245	46412	5135.5	56106
H5	NA-156-3	NA-156-3	17620	17510	16368	411754	616	79	867.6	100.3
