Well	Cycle	ΔRn
A9	31	
A9	32	
A9	33	
A9	34	
A9	35	
A9	36	
A9	37	
A9	38	
A9	39	
A9	40	
A10	1	
A10	2	
A10	3	
A10	4	
A10	5	
A10	6	
A10	7	
A10	8	
A10	9	
A10	10	
A10	11	
A10	12	
A10	13	
A10	14	
A10	15	
A10	16	
A10	17	
A10	18	
A10	19	
A10	20	
A10	21	
A10	22	
A10	23	
A10	24	
A10	25	
A10	26	
A10	27	
A10	28	
A10	29	
A10	30	
A10	31	
A10	32	
A10	33	
A10	34	
A10	35	
A10	36	
A10	37	
A10	38	
A10	39	
A10	40	
A11	1	
A11	2	
A11	3	
A11	4	
A11	5	
A11	6	
A11	7	
A11	8	
A11	9	
A11	10	
A11	11	
A11	12	
A11	13	
A11	14	
A11	15	
A11	16	
A11	17	
A11	18	
A11	19	
A11	20	
A11	21	
A11	22	
A11	23	
A11	24	
A11	25	
A11	26	
A11	27	
A11	28	
A11	29	
A11	30	
A11	31	
A11	32	
A11	33	
A11	34	
A11	35	
A11	36	
A11	37	
A11	38	
A11	39	
A11	40	
A12	1	
A12	2	
A12	3	
A12	4	
A12	5	
A12	6	
A12	7	
A12	8	
A12	9	
A12	10	
A12	11	
A12	12	
A12	13	
A12	14	
A12	15	
A12	16	
A12	17	
A12	18	
A12	19	
A12	20	
A12	21	
A12	22	
A12	23	
A12	24	
A12	25	
A12	26	
A12	27	
A12	28	
A12	29	
A12	30	
A12	31	
A12	32	
A12	33	
A12	34	
A12	35	
A12	36	
A12	37	
A12	38	
A12	39	
A12	40	
B1	1	-1858.79296875
B1	2	-982.9091186523
B1	3	-491.2938537598
B1	4	-167.7195892334
B1	5	-56.2800865173
B1	6	156.4621582031
B1	7	137.3352508545
B1	8	248.8528747559
B1	9	233.895904541
B1	10	240.8217315674
B1	11	269.7963867188
B1	12	118.0015258789
B1	13	-63.86561203
B1	14	-100.068687439
B1	15	-284.3811340332
B1	16	-241.5568695068
B1	17	-321.6056518555
B1	18	-302.3770751953
B1	19	-346.2070922852
B1	20	-355.9355773926
B1	21	-354.3027038574
B1	22	-165.6249084473
B1	23	105.6778717041
B1	24	695.7072143555
B1	25	1812.0568847656
B1	26	4076.2971191406
B1	27	8664.208984375
B1	28	17117.216796875
B1	29	32239.908203125
B1	30	56423.85546875
B1	31	89910.671875
B1	32	123684.9296875
B1	33	144167.3125
B1	34	151089.15625
B1	35	156045.3125
B1	36	160589.390625
B1	37	162813.96875
B1	38	164764.65625
B1	39	167178.390625
B1	40	167890.703125
B2	1	-143.5454101563
B2	2	143.5454101563
B2	3	666.5415039063
B2	4	1411.2192382813
B2	5	2644.3520507813
B2	6	5214.9594726563
B2	7	9799.46875
B2	8	18446.640625
B2	9	33520.83203125
B2	10	58768.58984375
B2	11	94110.96875
B2	12	132028.421875
B2	13	158036.984375
B2	14	167260.140625
B2	15	173219.890625
B2	16	176309.546875
B2	17	179527.5
B2	18	182547.703125
