; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.214041_2019-09-21.214041_D9j03T/results/discovered_motifs/oligos_6nt_mkv3_m2/peak-motifs_oligos_6nt_mkv3_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	2	2	245	0.00816	0.00816	1.00000
-460	-440	-450	0	2	243	0.00000	0.00816	0.99184
-440	-420	-430	0	2	243	0.00000	0.00816	0.99184
-420	-400	-410	0	2	243	0.00000	0.00816	0.99184
-400	-380	-390	0	2	243	0.00000	0.00816	0.99184
-380	-360	-370	0	2	243	0.00000	0.00816	0.99184
-360	-340	-350	0	2	243	0.00000	0.00816	0.99184
-340	-320	-330	0	2	243	0.00000	0.00816	0.99184
-320	-300	-310	0	2	243	0.00000	0.00816	0.99184
-300	-280	-290	0	2	243	0.00000	0.00816	0.99184
-280	-260	-270	0	2	243	0.00000	0.00816	0.99184
-260	-240	-250	0	2	243	0.00000	0.00816	0.99184
-240	-220	-230	0	2	243	0.00000	0.00816	0.99184
-220	-200	-210	2	4	243	0.00816	0.01633	0.99184
-200	-180	-190	1	5	241	0.00408	0.02041	0.98367
-180	-160	-170	0	5	240	0.00000	0.02041	0.97959
-160	-140	-150	2	7	240	0.00816	0.02857	0.97959
-140	-120	-130	0	7	238	0.00000	0.02857	0.97143
-120	-100	-110	2	9	238	0.00816	0.03673	0.97143
-100	-80	-90	2	11	236	0.00816	0.04490	0.96327
-80	-60	-70	2	13	234	0.00816	0.05306	0.95510
-60	-40	-50	0	13	232	0.00000	0.05306	0.94694
-40	-20	-30	0	13	232	0.00000	0.05306	0.94694
-20	0	-10	4	17	232	0.01633	0.06939	0.94694
0	20	10	2	19	228	0.00816	0.07755	0.93061
20	40	30	2	21	226	0.00816	0.08571	0.92245
40	60	50	2	23	224	0.00816	0.09388	0.91429
60	80	70	2	25	222	0.00816	0.10204	0.90612
80	100	90	60	85	220	0.24490	0.34694	0.89796
100	120	110	138	223	160	0.56327	0.91020	0.65306
120	140	130	2	225	22	0.00816	0.91837	0.08980
140	160	150	5	230	20	0.02041	0.93878	0.08163
160	180	170	1	231	15	0.00408	0.94286	0.06122
180	200	190	0	231	14	0.00000	0.94286	0.05714
200	220	210	2	233	14	0.00816	0.95102	0.05714
220	240	230	0	233	12	0.00000	0.95102	0.04898
240	260	250	1	234	12	0.00408	0.95510	0.04898
260	280	270	2	236	11	0.00816	0.96327	0.04490
280	300	290	1	237	9	0.00408	0.96735	0.03673
300	320	310	2	239	8	0.00816	0.97551	0.03265
320	340	330	0	239	6	0.00000	0.97551	0.02449
340	360	350	0	239	6	0.00000	0.97551	0.02449
360	380	370	0	239	6	0.00000	0.97551	0.02449
380	400	390	4	243	6	0.01633	0.99184	0.02449
400	420	410	2	245	2	0.00816	1.00000	0.00816
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	245
; sum                	23609
; mean               	96.3633
; median class       	[80..100[
; var                	8.72e+03
; std                	93.3901
; min                	-469
; max                	407
; range              	876
; Host name	rsat-tagc
; Job started	2019-09-21.214210
; Job done	2019-09-21.214210
; Seconds	0.27
;	user	0.27
;	system	0.02
;	cuser	0
;	csystem	0
