; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/www-data/2019/09/21/peak-motifs.2019-09-21.224027_2019-09-21.224027_vuiQvA/results/discovered_motifs/oligos_6nt_mkv2_m1/peak-motifs_oligos_6nt_mkv2_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	2	2	162	0.01235	0.01235	1.00000
-460	-440	-450	0	2	160	0.00000	0.01235	0.98765
-440	-420	-430	0	2	160	0.00000	0.01235	0.98765
-420	-400	-410	0	2	160	0.00000	0.01235	0.98765
-400	-380	-390	0	2	160	0.00000	0.01235	0.98765
-380	-360	-370	0	2	160	0.00000	0.01235	0.98765
-360	-340	-350	0	2	160	0.00000	0.01235	0.98765
-340	-320	-330	0	2	160	0.00000	0.01235	0.98765
-320	-300	-310	0	2	160	0.00000	0.01235	0.98765
-300	-280	-290	0	2	160	0.00000	0.01235	0.98765
-280	-260	-270	0	2	160	0.00000	0.01235	0.98765
-260	-240	-250	0	2	160	0.00000	0.01235	0.98765
-240	-220	-230	0	2	160	0.00000	0.01235	0.98765
-220	-200	-210	2	4	160	0.01235	0.02469	0.98765
-200	-180	-190	0	4	158	0.00000	0.02469	0.97531
-180	-160	-170	0	4	158	0.00000	0.02469	0.97531
-160	-140	-150	2	6	158	0.01235	0.03704	0.97531
-140	-120	-130	0	6	156	0.00000	0.03704	0.96296
-120	-100	-110	2	8	156	0.01235	0.04938	0.96296
-100	-80	-90	2	10	154	0.01235	0.06173	0.95062
-80	-60	-70	0	10	152	0.00000	0.06173	0.93827
-60	-40	-50	0	10	152	0.00000	0.06173	0.93827
-40	-20	-30	0	10	152	0.00000	0.06173	0.93827
-20	0	-10	4	14	152	0.02469	0.08642	0.93827
0	20	10	2	16	148	0.01235	0.09877	0.91358
20	40	30	0	16	146	0.00000	0.09877	0.90123
40	60	50	2	18	146	0.01235	0.11111	0.90123
60	80	70	2	20	144	0.01235	0.12346	0.88889
80	100	90	74	94	142	0.45679	0.58025	0.87654
100	120	110	50	144	68	0.30864	0.88889	0.41975
120	140	130	2	146	18	0.01235	0.90123	0.11111
140	160	150	4	150	16	0.02469	0.92593	0.09877
160	180	170	0	150	12	0.00000	0.92593	0.07407
180	200	190	0	150	12	0.00000	0.92593	0.07407
200	220	210	2	152	12	0.01235	0.93827	0.07407
220	240	230	0	152	10	0.00000	0.93827	0.06173
240	260	250	2	154	10	0.01235	0.95062	0.06173
260	280	270	2	156	8	0.01235	0.96296	0.04938
280	300	290	2	158	6	0.01235	0.97531	0.03704
300	320	310	0	158	4	0.00000	0.97531	0.02469
320	340	330	0	158	4	0.00000	0.97531	0.02469
340	360	350	0	158	4	0.00000	0.97531	0.02469
360	380	370	0	158	4	0.00000	0.97531	0.02469
380	400	390	2	160	4	0.01235	0.98765	0.02469
400	420	410	2	162	2	0.01235	1.00000	0.01235
; Statistics:
; -----------
; class interval     	20
; classes            	45
; count              	162
; sum                	15149
; mean               	93.5123
; median class       	[60..80[
; var                	1.09e+04
; std                	104.379
; min                	-468.5
; max                	406.5
; range              	875
; Host name	rsat-tagc
; Job started	2019-09-21.224144
; Job done	2019-09-21.224144
; Seconds	0.24
;	user	0.24
;	system	0.04
;	cuser	0
;	csystem	0
